Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestamp;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
NR;LTE, NR;LTE, NR;0;not available;0;27;0;-113;-15;-59;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693307;51.5170504;139.98706248381544;1607601908999;6.197;1607601941726;TCP;download;4194304;1.879477;-1;-1;5109388;2.1748126739513174E7;1.838115;-1;-1;4195555;1.8260250310780335E7;-1.0;0.0;0.0;-1.0;-1;0;225888;34040;33739;33889;2.1748126739513174E7;29.245;60.596;120.184;35.803;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;39;0;-101;-7;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693216;51.5170539;138.5135656244827;1607601921999;5.359;1607601954858;TCP;upload;524288;0.120231;-1;-1;550410;3.66234997629563E7;0.169955;-1;-1;153213;7211932.57038628;-1.0;0.0;0.0;-1.0;-1;0;89776;39136;38480;38808;3.66234997629563E7;31.677;67.206;120.048;32.43;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;40;0;-100;-11;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4693229;51.5170581;134.4017353741338;1607601935999;5.063;1607601968528;UDP;upload;3145728;0.933209;2173;0;3146504;3371703.4447803227;-1.0;-1;-1;-1;-1.0;2.697362755824258E7;0.0;-1.0;-1.0;-1;-1;111.797;1095.423;2408.518;904.267;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;40;0;-100;-3;-53;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4676362;51.5175102;133.8408903422962;1607601948999;3.76;1607601981728;TCP;download;2097152;1.818735;-1;-1;2619394;1.15218280838055E7;1.786052;-1;-1;2102845;9418964.28547433;-1.0;0.0;0.0;-1.0;-1;1;118736;34824;30075;32449;1.15218280838055E7;35.545;59.465;116.165;33.22;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;40;0;-100;-3;-53;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4660671;51.5178539;134.85948108095624;1607601959999;3.983;1607601994860;UDP;upload;104858;0.002493;73;0;105704;4.240032089851584E7;-1.0;-1;-1;-1;-1.0;3.3920256718812674E8;0.0;-1.0;-1.0;-1;-1;29.238;44.188;83.266;22.597;0.0;true
NR;LTE, NR;LTE, NR;0;not available;0;34;0;-106;-6;-61;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4648798;51.5178796;134.9272887255414;1607601974999;3.72;1607602007990;UDP;upload;524288;0.017304;363;0;525624;3.0375866851595007E7;-1.0;-1;-1;-1;-1.0;2.4300693481276006E8;0.0;-1.0;-1.0;-1;-1;32.35;63.238;119.501;33.893;0.0;true
LTE;LTE;LTE;0;not available;0;34;0;-106;-6;-61;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4633919;51.5176224;136.0548525491125;1607601987999;3.966;1607602021207;TCP;upload;4194304;2.153692;-1;-1;4403910;1.6358550804850463E7;2.35537;-1;-1;3660888;1.243418401355201E7;-1.0;0.0;0.0;-1.0;-1;0;2208200;593577;47560;387987;1.6358550804850463E7;41.383;296.436;588.603;254.974;0.0;true
LTE;LTE;LTE;0;not available;0;34;0;-106;-6;-61;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4614844;51.5171371;135.1474133178381;1607602002999;3.983;1607602035602;UDP;download;1048576;0.076909;64509;3101;93409032;1.1561557685056365E9;0.818655;64509;3101;-1;9.12804851860674E8;9.12804851860674E8;4.807081182470663;4.0;0.13895828588803782;0;-1;45.923;45.923;45.923;0.0;75.0;true
LTE;LTE;LTE;0;not available;0;34;0;-106;-6;-61;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4594357;51.5167668;133.67650504815603;1607602015999;3.933;1607602049257;TCP;download;4194304;3.125973;-1;-1;5069792;1.29746277399069E7;3.088749;-1;-1;4196304;1.0868617683081403E7;-1.0;0.0;0.0;-1.0;-1;0;222992;59133;43969;52344;1.29746277399069E7;32.098;49.633;59.777;10.478;0.0;true
LTE;LTE;LTE;0;not available;0;34;0;-106;-6;-61;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4578695;51.5165712;134.76014679764555;1607602028999;3.96;1607602062409;TCP;upload;524288;0.00312;-1;-1;550410;1.4113076923076923E9;0.085234;-1;-1;14205;1333270.7604946382;-1.0;0.0;0.0;-1.0;-1;0;14480;31916;31916;31916;1.4113076923076923E9;55.77;57.039;58.498;1.143;0.0;true
