timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607600769424;60.562;335.836;665.993;224.521;0.0;true
1607600782663;119.091;646.412;1212.754;391.396;0.0;true
1607600796562;51.863;180.363;502.491;187.698;0.0;true
1607600809759;31.335;55.372;122.791;38.937;0.0;true
1607600822925;35.832;46.735;61.228;9.29;0.0;true
1607600836914;40.391;391.79;594.104;212.636;0.0;true
1607600854142;31.691;61.509;123.244;37.232;0.0;true
1607600867252;31.838;75.378;139.2;40.789;0.0;true
1607600880362;33.691;62.639;120.725;35.514;0.0;true
1607600893491;70.205;438.693;609.984;215.648;0.0;true
1607600909379;117.315;645.157;1273.678;455.045;0.0;true
1607600923591;47.938;216.886;636.655;244.582;0.0;true
1607600936723;32.429;56.192;126.855;40.797;0.0;true
1607600949835;33.804;38.866;44.93;4.597;25.0;true
1607600963928;31.945;152.133;259.075;88.108;0.0;true
1607600977035;35.157;66.832;129.307;37.732;0.0;true
1607600990181;32.17;44.861;82.49;21.726;0.0;true
1607601003291;32.589;48.05;62.707;12.471;0.0;true
1607601016420;29.903;39.277;55.447;9.726;0.0;true
1607601029518;31.213;41.59;58.985;10.442;0.0;true
1607601042618;38.913;46.98;56.946;6.682;0.0;true
1607601056004;30.603;40.756;63.669;13.328;0.0;true
1607601069101;30.703;172.232;583.608;237.525;0.0;true
1607601082198;31.64;90.469;195.185;63.242;0.0;true
1607601095310;31.721;80.102;185.705;62.107;0.0;true
1607601108428;37.062;60.487;115.423;32.067;0.0;true
1607601121556;38.076;114.065;242.339;91.218;25.0;true
1607601135637;30.491;100.23;239.092;98.19;25.0;true
1607601149720;35.035;81.219;212.039;75.591;0.0;true
1607601162931;32.415;219.17;735.633;298.487;0.0;true
1607601176070;31.524;165.638;311.307;129.505;0.0;true
1607601189194;29.469;261.928;919.127;379.599;0.0;true
1607601202317;29.556;43.227;57.019;11.214;25.0;true
1607601216420;37.719;291.282;550.894;247.389;0.0;true
1607601229587;40.838;235.203;713.159;278.793;0.0;true
1607601242722;31.284;108.78;315.884;119.702;0.0;true
1607601255827;29.997;33.613;42.974;5.431;0.0;true
1607601268916;33.676;40.927;44.776;4.497;0.0;true
1607601282093;30.026;34.67;36.715;2.745;0.0;true
1607601295205;37.658;118.555;350.379;133.881;0.0;true
1607601308315;40.109;120.347;219.571;75.817;0.0;true
1607601321445;31.907;44.602;68.963;14.342;0.0;true
1607601334632;62.158;169.27;381.706;150.216;25.0;true
1607601348718;38.709;280.716;693.848;266.519;0.0;true
1607601361852;32.528;54.943;86.679;20.339;0.0;true
1607601374963;30.611;80.189;208.261;74.254;0.0;true
1607601388069;29.369;32.261;38.802;3.808;0.0;true
1607601401161;38.85;85.298;204.482;69.08;0.0;true
1607601414270;35.799;42.654;57.126;8.705;0.0;true
1607601428580;30.484;124.716;359.137;135.851;0.0;true
1607601441676;29.613;173.055;569.13;228.906;0.0;true
1607601454762;47.494;249.534;791.197;313.792;0.0;true
1607601468011;103.874;529.745;765.923;259.678;0.0;true
1607601482001;47.886;231.518;413.766;166.875;0.0;true
1607601495118;30.54;730.891;1894.72;749.784;0.0;true
1607601508232;29.912;43.787;81.679;21.922;0.0;true
1607601521368;33.798;328.144;629.793;268.648;0.0;true
1607601534472;31.219;44.052;79.919;20.719;0.0;true
1607601547587;31.674;47.955;85.463;21.962;0.0;true
1607601560748;50.724;210.117;377.072;133.281;0.0;true
1607601573880;66.533;66.533;66.533;0.0;75.0;true
1607601591389;74.272;74.272;74.272;0.0;75.0;true
1607601609915;29.357;68.509;183.992;66.675;0.0;true
1607601623061;30.321;47.552;93.543;26.629;0.0;true
1607601636168;29.389;38.218;53.47;9.352;0.0;true
1607601938617;29.245;60.596;120.184;35.803;0.0;true
1607601951746;31.677;67.206;120.048;32.43;0.0;true
1607601964971;111.797;1095.423;2408.518;904.267;0.0;true
1607601978595;35.545;59.465;116.165;33.22;0.0;true
1607601991751;29.238;44.188;83.266;22.597;0.0;true
1607602004880;32.35;63.238;119.501;33.893;0.0;true
1607602018006;41.383;296.436;588.603;254.974;0.0;true
1607602031260;45.923;45.923;45.923;0.0;75.0;true
1607602045641;32.098;49.633;59.777;10.478;0.0;true
1607602059282;55.77;57.039;58.498;1.143;0.0;true
1607602072419;30.845;90.859;244.115;88.666;0.0;true
1607602085580;65.992;118.48;185.974;49.268;0.0;true
1607602100248;41.408;135.625;333.743;116.79;0.0;true
1607602113387;29.293;57.131;98.73;25.531;0.0;true
1607602126492;45.904;45.904;45.904;0.0;75.0;true
1607602144631;29.089;56.375;74.794;16.766;0.0;true
1607602157766;31.075;279.807;994.469;412.766;0.0;true
1607602170864;31.553;40.906;66.926;15.029;0.0;true
1607602183981;30.691;118.753;342.253;130.008;0.0;true
1607602197108;31.623;108.562;295.673;109.488;0.0;true
1607602210220;32.256;130.286;350.08;127.937;0.0;true
1607602223331;30.813;62.954;126.577;38.552;0.0;true
1607602236471;31.864;56.725;124.981;39.463;0.0;true
1607602249601;32.214;93.307;253.567;92.954;0.0;true
1607602262721;29.777;37.436;41.356;4.519;0.0;true
1607602275829;42.241;161.409;442.163;164.581;0.0;true
1607602289093;54.161;611.667;815.0;322.151;0.0;true
1607602303224;37.669;57.599;74.719;15.128;0.0;true
1607602316383;41.167;196.421;633.413;252.43;0.0;true
1607602329517;34.635;38.455;43.465;3.187;0.0;true
1607602342638;49.124;127.479;201.18;62.165;25.0;true
1607602356723;121.379;563.156;1092.859;401.449;25.0;true
1607602371810;31.488;200.287;636.658;253.263;0.0;true
1607602384963;30.311;62.988;124.855;37.126;0.0;true
1607602398075;32.213;52.694;112.791;34.701;0.0;true
1607602411198;32.192;71.979;117.747;32.303;0.0;true
1607602424360;31.21;60.177;119.922;35.822;0.0;true
1607602437492;30.084;55.638;128.49;42.069;0.0;true
1607602450624;78.587;601.756;1095.42;428.664;0.0;true
1607602464058;29.551;660.844;1762.492;691.278;0.0;true
1607602477198;31.608;163.295;466.488;178.914;0.0;true
1607602490306;65.028;196.04;544.19;201.8;0.0;true
1607602503464;133.12;411.57;687.474;228.708;0.0;true
1607602516921;31.252;67.753;134.963;41.951;0.0;true
1607602530136;29.889;235.59;835.582;346.45;0.0;true
1607602543222;39.036;39.036;39.036;0.0;75.0;true
1607602558488;50.015;55.153;66.716;6.725;0.0;true
1607602573650;53.104;53.104;53.104;0.0;75.0;true
1607602588211;28.39;180.23;357.691;146.973;0.0;true
1607602601319;31.607;1262.002;2615.492;984.507;0.0;true
1607602615251;79.517;79.517;79.517;0.0;75.0;true
1607602653836;31.569;1487.654;2075.633;843.486;0.0;true
1607602672151;85.027;691.287;1307.046;498.932;25.0;true
1607602688042;29.697;54.784;91.533;22.759;0.0;true
1607602701166;32.842;177.907;507.985;193.35;0.0;true
1607602714290;30.081;84.133;209.278;72.86;0.0;true
1607602727416;29.48;71.129;167.403;56.083;0.0;true
1607602740536;35.857;596.083;1646.682;654.122;0.0;true
1607602753639;29.641;48.088;99.736;29.829;0.0;true
1607602766742;32.936;78.128;143.893;47.576;25.0;true
