Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy
0;10-12-2020_10:57:11:602;1607597831602;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;10-12-2020_10:57:11:619;1607597831619;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;10-12-2020_10:57:11:636;1607597831636;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;10-12-2020_10:57:12:602;1607597832602;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;166.95799462283009;1607597799000;9.091
0;10-12-2020_10:57:13:651;1607597833651;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.28491357994767;1607597800000;9.091
0;10-12-2020_10:57:14:672;1607597834672;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.3941496397222;1607597801000;8.935
0;10-12-2020_10:57:15:693;1607597835693;NR;LTE, NR;LTE, NR;0;371;0;38;0;-102;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.43020395778206;1607597802000;9.091
0;10-12-2020_10:57:15:981;1607597835981;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.43020395778206;1607597802000;9.091
0;10-12-2020_10:57:16:584;1607597836584;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.51785732974636;1607597803000;8.995
1;10-12-2020_10:57:16:714;1607597836714;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.51785732974636;1607597803000;8.995
1;10-12-2020_10:57:17:746;1607597837746;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.58508914705214;1607597804000;8.995
1;10-12-2020_10:57:18:767;1607597838767;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.78125325107388;1607597805000;8.995
1;10-12-2020_10:57:19:794;1607597839794;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.6390035520898;1607597806000;9.16
1;10-12-2020_10:57:20:828;1607597840828;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.75817734474217;1607597807000;9.16
1;10-12-2020_10:57:21:003;1607597841003;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.75817734474217;1607597807000;9.16
1;10-12-2020_10:57:21:850;1607597841850;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.98206010295937;1607597808000;9.211
1;10-12-2020_10:57:22:874;1607597842874;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;167.985876929482;1607597809000;9.211
1;10-12-2020_10:57:23:911;1607597843911;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.02694497667318;1607597810000;9.211
1;10-12-2020_10:57:24:939;1607597844939;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.44488365440537;1607597811000;9.211
1;10-12-2020_10:57:25:973;1607597845973;NR;LTE, NR;LTE, NR;0;45;0;36;0;-104;-15;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.21159246871045;1607597812000;9.211
1;10-12-2020_10:57:26:046;1607597846046;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.21159246871045;1607597812000;9.211
1;10-12-2020_10:57:26:993;1607597846993;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.39199772250873;1607597813000;9.093
1;10-12-2020_10:57:28:016;1607597848016;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.3298106427858;1607597814000;9.093
1;10-12-2020_10:57:29:062;1607597849062;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.4570484192254;1607597815000;9.093
1;10-12-2020_10:57:30:101;1607597850101;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.42689386395458;1607597816000;9.093
1;10-12-2020_10:57:30:653;1607597850653;NR;LTE, NR;LTE, NR;0;68;0;29;0;-111;-12;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.39002915125198;1607597817000;9.093
2;10-12-2020_10:57:31:096;1607597851096;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.39002915125198;1607597817000;9.093
2;10-12-2020_10:57:31:127;1607597851127;NR;LTE, NR;LTE, NR;0;45;0;35;0;-105;-18;not available;0;0;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.410568;51.4883893;168.39002915125198;1607597851020;9.398
