timestamp;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
1607596800467;32.297;307.336;748.009;296.523;0.0;true
1607596813561;40.876;114.884;334.21;126.629;0.0;true
1607596826673;32.156;39.12;51.443;7.618;0.0;true
1607596839767;33.812;369.129;1015.631;457.252;25.0;true
1607596854873;220.534;760.098;1070.384;325.209;0.0;true
1607596869545;29.813;32.499;36.752;2.578;0.0;true
1607596882643;32.025;41.411;61.807;12.013;0.0;true
1607596895795;32.37;289.785;1041.303;433.955;0.0;true
1607596908919;36.807;62.946;99.263;22.846;0.0;true
1607596922787;31.86;141.604;347.091;123.221;0.0;true
1607596935899;114.812;114.812;114.812;0.0;75.0;true
1607596959215;29.898;103.534;236.498;80.415;0.0;true
1607596972296;31.274;57.869;117.077;34.972;0.0;true
1607597831639;34.321;410.442;965.518;400.666;25.0;true
1607597846606;247.628;992.793;1877.126;672.479;25.0;true
1607597860668;32.222;66.525;146.316;46.35;0.0;true
1607597873729;31.629;279.488;992.335;411.738;0.0;true
1607597886828;39.766;291.514;562.182;243.896;0.0;true
1607597899949;31.669;87.649;201.103;66.817;0.0;true
1607597913058;38.861;45.952;54.279;5.5;0.0;true
1607597927219;43.628;126.366;369.23;140.224;0.0;true
1607597940381;34.641;353.808;952.026;423.321;25.0;true
1607597955370;32.35;91.679;220.97;75.335;0.0;true
1607597968518;31.645;42.542;73.255;17.739;0.0;true
1607597981626;38.423;54.176;76.391;16.252;0.0;true
1607597994739;41.819;194.683;488.738;207.982;25.0;true
1607598008833;217.536;266.231;300.321;34.757;0.0;true
1607598022294;35.2;45.483;65.849;11.954;0.0;true
1607598035416;30.618;40.705;61.551;12.369;0.0;true
1607598048503;39.479;102.623;263.609;93.257;0.0;true
1607598061657;40.504;55.43;64.553;9.836;0.0;true
1607598074756;38.433;72.784;146.638;43.26;0.0;true
1607598088540;39.039;455.127;1320.162;519.656;0.0;true
1607598101665;36.24;50.756;61.471;9.756;0.0;true
1607598115091;32.568;246.077;866.982;358.503;0.0;true
1607598128224;32.472;246.887;880.525;365.849;0.0;true
1607598141337;31.169;207.055;716.956;294.459;0.0;true
1607598154436;31.472;41.196;52.057;7.337;0.0;true
1607598167550;43.627;607.795;934.243;340.888;0.0;true
1607598181735;32.905;226.404;750.454;302.85;0.0;true
1607598194867;36.738;55.5;72.392;15.596;0.0;true
1607598207997;36.979;48.895;60.534;9.198;0.0;true
1607598221123;41.068;491.687;878.725;375.827;0.0;true
1607598234449;40.893;44.312;51.588;4.258;0.0;true
1607598248942;39.887;40.513;41.484;0.64;0.0;true
1607598262046;40.676;110.058;273.884;95.204;0.0;true
1607598275209;34.754;44.139;62.53;10.83;0.0;true
1607598288313;35.976;44.595;55.312;6.925;0.0;true
1607598301675;39.481;78.021;126.033;37.668;0.0;true
1607598314787;37.052;93.394;251.687;91.44;0.0;true
1607598327890;203.515;295.666;441.261;104.158;25.0;true
1607598342344;31.523;88.66;238.818;87.085;0.0;true
1607598355442;35.033;49.33;72.055;13.919;0.0;true
1607598368575;31.62;39.696;54.222;9.261;0.0;true
1607598381666;31.65;62.212;110.217;30.702;0.0;true
1607598394767;43.804;124.571;282.764;97.053;0.0;true
1607598407902;37.934;92.214;194.241;60.209;0.0;true
1607598421080;40.876;215.199;554.087;239.663;25.0;true
1607598435309;58.536;108.921;232.669;71.669;0.0;true
1607598449984;42.42;179.309;556.111;217.793;0.0;true
1607598463124;31.646;39.545;61.79;12.846;0.0;true
1607598476224;39.556;61.016;106.034;26.29;0.0;true
1607598491102;29.958;35.083;40.708;4.754;0.0;true
1607598504155;32.072;62.07;138.577;44.269;0.0;true
1607598507373;30.958;31.534;32.113;0.463;0.0;true
1607598517218;32.467;41.322;47.696;5.833;0.0;true
1607598530318;31.585;43.665;68.188;14.721;0.0;true
1607598577344;39.459;297.656;474.997;159.681;0.0;true
1607598590853;48.634;238.359;778.036;311.679;0.0;true
1607598604014;561.402;659.744;761.63;71.692;0.0;true
1607598618509;65.73;65.73;65.73;0.0;75.0;true
1607598637741;30.516;34.298;42.701;4.951;0.0;true
1607598650839;33.909;39.396;45.984;4.971;0.0;true
1607598664036;30.576;35.556;40.324;4.04;0.0;true
1607598677140;41.202;494.571;1063.886;451.639;0.0;true
1607598690267;50.958;319.809;1096.228;448.421;0.0;true
