Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL
0;18-12-2020_01:42:19:389;1608298939373;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:389;1608298939373;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:389;1608298939373;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:389;1608298939373;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:414;1608298939400;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:414;1608298939400;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:414;1608298939400;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:414;1608298939400;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:451;1608298939435;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:451;1608298939435;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:451;1608298939435;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:19:451;1608298939435;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:393;1608298940374;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:393;1608298940374;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:393;1608298940374;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:393;1608298940374;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:554;1608298940537;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:554;1608298940537;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:554;1608298940537;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:20:554;1608298940537;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:21:422;1608298941409;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:21:422;1608298941409;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:21:422;1608298941409;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:21:422;1608298941409;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:462;1608298942444;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:462;1608298942444;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:462;1608298942444;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:462;1608298942444;LTE;LTE;;0;245;0;38;0;-102;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:516;1608298942444;LTE;LTE;;0;167;0;43;0;-97;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:516;1608298942444;LTE;LTE;;0;49;0;37;0;-103;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_01:42:22:516;1608298942444;LTE;LTE;;0;243;0;43;0;-97;-8;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
