count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;NR;LTE, NR;LTE, NR;26385411;426;13499;45;12;-95;-6;not available;-3;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4110049;51.4892848;157.7826580038915;1608298889999;4.004;1608298939456;1608298941566;TCP;download;2097152;1.565508;-1;-1;2716818;1.3883380985597009E7;1.508928;-1;-1;2101048;1.1139288289434617E7;-1.0;0.0;0.0;-1.0;-1;0;false;152040;60064;42765;51414;1.3883380985597009E7;1608298939456;1608298942511;29.499;46.719;77.193;18.191;0.0;true
1;NR;LTE, NR;LTE, NR;26385411;426;13499;45;12;-95;-6;not available;-3;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4110049;51.4892848;157.7826580038915;1608298945993;4.004;1608298952617;1608298955135;TCP;download;2097152;1.765025;-1;-1;2678576;1.2140682426594524E7;1.72449;-1;-1;2104293;9761926.1346833;-1.0;0.0;0.0;-1.0;-1;0;false;150592;74547;53543;64045;1.2140682426594524E7;1608298952614;1608298955694;28.639;42.861;65.498;15.183;0.0;true
2;NR;LTE, NR;LTE, NR;26385411;426;13499;43;9;-97;-9;not available;9;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4110049;51.4892848;157.7826580038915;1608298969403;4.004;1608298966228;1608298969654;UDP;upload;4194304;1.314548;2897;0;4194856;3191101.428019365;-1.0;-1;-1;-1;-1.0;2.552881142415492E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608298966220;1608298972052;51.906;584.677;1388.444;578.309;25.0;true
3;NR;LTE, NR;LTE, NR;26385411;426;13499;44;10;-96;-7;not available;9;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4111585;51.4890628;172.79464572950022;1608298934000;4.798;1608298982112;1608298982618;UDP;upload;104858;0.005411;73;0;105704;1.9535021253003143E7;-1.0;-1;-1;-1;-1.0;1.5628017002402514E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608298982107;1608298985164;29.997;54.963;110.088;32.779;0.0;true
4;NR;LTE, NR;LTE, NR;26385411;426;13499;51;12;-89;-6;not available;17;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4111816;51.4889389;172.24487512151396;1608298947000;4.738;1608298995222;1608298996434;TCP;download;2097152;0.731772;-1;-1;2795010;3.0556074842983883E7;0.694369;-1;-1;2098501;2.417735814818922E7;-1.0;0.0;0.0;-1.0;-1;0;false;162176;29645;29645;29645;3.0556074842983883E7;1608298995223;1608298998282;27.959;54.604;109.371;32.546;0.0;true
5;NR;LTE, NR;LTE, NR;26385411;426;13499;43;11;-97;-8;not available;13;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4106055;51.4891404;172.60632874363054;1608298960000;4.276;1608299008338;1608299009249;UDP;download;524288;0.009159;10347;634;14982456;1.2284680860355934E10;0.243737;10347;634;-1;4.917581163303068E8;4.917581163303068E8;6.12737991688412;6.0;0.0117878170462889;0;-1;false;;;;;;1608299008337;1608299011390;27.154;47.918;66.405;15.02;0.0;true
6;NR;LTE, NR;LTE, NR;26385411;426;13499;40;9;-100;-8;not available;8;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4102296;51.4899837;171.14065120526786;1608298973000;4.4;1608299021445;1608299022458;TCP;upload;3145728;0.36657;-1;-1;3302880;7.20818397577543E7;0.542361;-1;-1;2591984;3.8232601532927334E7;-1.0;0.0;0.0;-1.0;-1;0;false;1455240;106679;33559;65477;7.20818397577543E7;1608299021440;1608299024497;29.842;58.073;116.955;35.51;0.0;true
7;NR;LTE, NR;LTE, NR;26385411;426;13499;57;15;-83;-5;not available;31;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4091878;51.489921;174.31859347719453;1608298986000;5.333;1608299034607;1608299035414;UDP;download;2097152;0.035259;14513;2542;21014824;3.9329551036614757E9;0.184198;14513;2542;-1;9.127058491405987E8;9.127058491405987E8;17.51533108247778;17.0;0.016096117064213055;0;-1;false;;;;;;1608299034606;1608299037664;28.498;57.816;108.213;30.101;0.0;true
8;NR;LTE, NR;LTE, NR;26385411;426;13499;57;15;-83;-5;not available;31;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.407704;51.4897304;179.73610609777688;1608298999000;4.666;1608299047725;1608299048734;UDP;upload;524288;0.016022;363;0;525624;3.280639121208338E7;-1.0;-1;-1;-1;-1.0;2.6245112969666705E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1608299047713;1608299050770;28.358;53.042;124.502;41.261;0.0;true
9;NR;LTE, NR;LTE, NR;26385411;426;13499;57;15;-83;-5;not available;31;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4060508;51.4895201;179.72277967849914;1608299013000;6.0;1608299060813;1608299063530;TCP;download;10485760;1.257939;-1;-1;13276208;8.44314899212124E7;1.206644;-1;-1;10515676;6.971849857953133E7;-1.0;0.0;0.0;-1.0;-1;0;false;961472;58319;43319;50819;8.44314899212124E7;1608299060811;1608299064845;28.472;43.724;66.891;16.653;25.0;true
