counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
0;1608298939456;1608298941566;TCP;download;2097152;1.565508;-1;-1;2716818;1.3883380985597009E7;1.508928;-1;-1;2101048;1.1139288289434617E7;-1.0;0.0;0.0;-1.0;-1;0;false;152040;60064;42765;51414;1.3883380985597009E7
1;1608298952617;1608298955135;TCP;download;2097152;1.765025;-1;-1;2678576;1.2140682426594524E7;1.72449;-1;-1;2104293;9761926.1346833;-1.0;0.0;0.0;-1.0;-1;0;false;150592;74547;53543;64045;1.2140682426594524E7
2;1608298966228;1608298969654;UDP;upload;4194304;1.314548;2897;0;4194856;3191101.428019365;-1.0;-1;-1;-1;-1.0;2.552881142415492E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
3;1608298982112;1608298982618;UDP;upload;104858;0.005411;73;0;105704;1.9535021253003143E7;-1.0;-1;-1;-1;-1.0;1.5628017002402514E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
4;1608298995222;1608298996434;TCP;download;2097152;0.731772;-1;-1;2795010;3.0556074842983883E7;0.694369;-1;-1;2098501;2.417735814818922E7;-1.0;0.0;0.0;-1.0;-1;0;false;162176;29645;29645;29645;3.0556074842983883E7
5;1608299008338;1608299009249;UDP;download;524288;0.009159;10347;634;14982456;1.2284680860355934E10;0.243737;10347;634;-1;4.917581163303068E8;4.917581163303068E8;6.12737991688412;6.0;0.0117878170462889;0;-1;false;;;;;
6;1608299021445;1608299022458;TCP;upload;3145728;0.36657;-1;-1;3302880;7.20818397577543E7;0.542361;-1;-1;2591984;3.8232601532927334E7;-1.0;0.0;0.0;-1.0;-1;0;false;1455240;106679;33559;65477;7.20818397577543E7
7;1608299034607;1608299035414;UDP;download;2097152;0.035259;14513;2542;21014824;3.9329551036614757E9;0.184198;14513;2542;-1;9.127058491405987E8;9.127058491405987E8;17.51533108247778;17.0;0.016096117064213055;0;-1;false;;;;;
8;1608299047725;1608299048734;UDP;upload;524288;0.016022;363;0;525624;3.280639121208338E7;-1.0;-1;-1;-1;-1.0;2.6245112969666705E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
9;1608299060813;1608299063530;TCP;download;10485760;1.257939;-1;-1;13276208;8.44314899212124E7;1.206644;-1;-1;10515676;6.971849857953133E7;-1.0;0.0;0.0;-1.0;-1;0;false;961472;58319;43319;50819;8.44314899212124E7
10;1608299074897;1608299076008;TCP;download;104858;0.272667;-1;-1;288200;8455735.38418657;0.162583;-1;-1;104876;5160490.3341677785;-1.0;0.0;0.0;-1.0;-1;0;false;59368;112724;112724;112724;8455735.38418657
11;1608299087991;1608299088695;TCP;download;524288;0.211676;-1;-1;1127030;4.2594531264763124E7;0.169313;-1;-1;525074;2.4809624777778435E7;-1.0;0.0;0.0;-1.0;-1;0;false;160728;30906;30906;30906;4.2594531264763124E7
12;1608299101102;1608299102825;UDP;download;524288;0.004281;27421;1961;39705608;6.889246437748189E10;0.433814;27421;1961;-1;7.32214414472562E8;7.32214414472562E8;7.151453265745232;7.0;0.008124754906769446;0;-1;false;;;;;
13;1608299114296;1608299116916;TCP;download;7340032;1.526782;-1;-1;9428808;4.94048685404989E7;1.47515;-1;-1;7351996;3.98711778463207E7;-1.0;0.0;0.0;-1.0;-1;0;false;453224;38539;33832;36185;4.940486854049891E7
14;1608299127439;1608299128851;UDP;upload;524288;0.020878;363;0;525624;2.5175974710221283E7;-1.0;-1;-1;-1;-1.0;2.0140779768177027E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
