Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;1608298939456;1608298942511;29.499;46.719;77.193;18.191;0.0;true
1;1608298952614;1608298955694;28.639;42.861;65.498;15.183;0.0;true
2;1608298966220;1608298972052;51.906;584.677;1388.444;578.309;25.0;true
3;1608298982107;1608298985164;29.997;54.963;110.088;32.779;0.0;true
4;1608298995223;1608298998282;27.959;54.604;109.371;32.546;0.0;true
5;1608299008337;1608299011390;27.154;47.918;66.405;15.02;0.0;true
6;1608299021440;1608299024497;29.842;58.073;116.955;35.51;0.0;true
7;1608299034606;1608299037664;28.498;57.816;108.213;30.101;0.0;true
8;1608299047713;1608299050770;28.358;53.042;124.502;41.261;0.0;true
9;1608299060811;1608299064845;28.472;43.724;66.891;16.653;25.0;true
10;1608299074897;1608299077950;26.728;82.955;221.703;80.875;0.0;true
11;1608299087990;1608299091041;28.699;59.487;121.381;37.171;0.0;true
12;1608299101098;1608299104173;39.35;165.066;458.238;171.847;0.0;true
13;1608299114294;1608299117380;34.239;158.528;510.354;203.283;0.0;true
14;1608299127437;1608299130504;27.92;88.631;227.439;81.804;0.0;true
15;1608299140547;1608299144604;61.676;61.676;61.676;0.0;75.0;true
16;1608299155711;1608299158767;30.429;52.99;103.898;30.043;0.0;true
17;1608299168819;1608299171872;29.163;50.949;100.767;29.339;0.0;true
18;1608299181908;1608299184966;29.743;60.577;105.562;28.71;0.0;true
19;1608299195012;1608299198067;30.416;62.354;128.779;38.819;0.0;true
20;1608299208100;1608299211155;30.401;60.605;119.315;35.183;0.0;true
21;1608299221284;1608299224348;29.742;56.534;106.107;29.379;0.0;true
22;1608299234387;1608299238414;55.408;82.463;125.043;30.475;25.0;true
23;1608299248529;1608299251602;27.334;72.615;182.298;63.644;0.0;true
24;1608299261666;1608299264724;28.528;91.818;268.082;101.878;0.0;true
25;1608299274781;1608299278819;39.967;215.522;388.117;142.147;25.0;true
26;1608299288861;1608299292901;43.965;84.661;112.318;29.388;25.0;true
27;1608299304704;1608299309697;44.712;421.336;966.511;394.745;25.0;true
28;1608299319761;1608299322817;28.204;34.64;44.63;6.257;0.0;true
29;1608299332879;1608299336931;40.825;127.671;214.517;86.846;50.0;true
30;1608299349831;1608299352900;35.227;79.689;193.549;65.868;0.0;true
31;1608299362941;1608299366160;45.964;250.678;489.513;159.693;0.0;true
32;1608299376760;1608299379816;27.629;80.84;239.91;91.839;0.0;true
33;1608299389860;1608299392905;25.427;44.972;64.606;17.158;0.0;true
34;1608299402958;1608299406003;25.361;46.295;73.839;17.471;0.0;true
35;1608299416054;1608299419142;40.732;323.903;1120.683;460.516;0.0;true
36;1608299429225;1608299433276;74.261;976.855;1939.779;762.788;25.0;true
37;1608299443408;1608299446467;27.589;40.615;55.567;10.627;0.0;true
38;1608299456512;1608299459571;34.968;47.197;76.085;16.811;0.0;true
39;1608299469625;1608299472686;28.346;68.078;135.185;40.178;0.0;true
40;1608299482746;1608299485796;27.956;36.31;45.987;8.324;0.0;true
41;1608299495843;1608299498902;34.16;152.637;255.256;101.128;0.0;true
42;1608299508959;1608299512022;34.579;41.186;50.503;5.976;0.0;true
43;1608299522250;1608299525311;27.315;32.761;38.282;5.197;0.0;true
44;1608299535401;1608299538470;37.969;42.472;48.569;3.832;0.0;true
45;1608299549078;1608299552140;28.273;41.286;64.557;13.819;0.0;true
46;1608299562200;1608299565267;30.156;32.897;37.504;3.022;0.0;true
47;1608299579433;1608299582479;27.68;154.285;447.738;172.779;0.0;true
48;1608299592522;1608299596558;38.824;49.599;67.431;12.701;25.0;true
49;1608299606687;1608299611033;42.937;251.486;655.414;285.67;25.0;true
50;1608299621068;1608299624138;45.323;126.279;303.176;105.344;0.0;true
51;1608299634192;1608299637261;47.518;78.426;131.039;33.192;0.0;true
52;1608299647321;1608299650373;28.382;62.508;131.9;42.155;0.0;true
53;1608299660428;1608299663487;29.006;52.996;108.202;32.526;0.0;true
