Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy
0;18-12-2020_02:35:23:448;1608302123448;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;18-12-2020_02:35:23:483;1608302123483;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;18-12-2020_02:35:23:506;1608302123506;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;18-12-2020_02:35:24:445;1608302124445;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170535;129.95006558440508;1608302073000;5.972
0;18-12-2020_02:35:25:477;1608302125477;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
0;18-12-2020_02:35:26:543;1608302126543;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
0;18-12-2020_02:35:26:560;1608302126560;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
1;18-12-2020_02:35:27:625;1608302127625;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
1;18-12-2020_02:35:28:720;1608302128720;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
1;18-12-2020_02:35:29:767;1608302129767;LTE;LTE;LTE;26378754;488;13499;54;not available;-86;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
1;18-12-2020_02:35:30:396;1608302130396;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587756;51.5170538;129.9117112079025;1608302074000;5.753
1;18-12-2020_02:35:30:852;1608302130852;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587758;51.5170549;129.9117112079025;1608302130362;74.255
1;18-12-2020_02:35:31:255;1608302131255;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.458785;51.5170374;129.89631001477238;1608302080000;4.0
1;18-12-2020_02:35:31:955;1608302131955;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.458785;51.5170374;129.89631001477238;1608302080000;4.0
1;18-12-2020_02:35:32:425;1608302132425;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587857;51.5170364;130.39790361189182;1608302081000;4.0
1;18-12-2020_02:35:33:064;1608302133064;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587857;51.5170364;130.39790361189182;1608302081000;4.0
1;18-12-2020_02:35:34:166;1608302134166;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170366;131.03048733947637;1608302083000;4.0
1;18-12-2020_02:35:35:242;1608302135242;LTE;LTE;LTE;26378754;488;13499;54;9;-86;-6;not available;14;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.28898404722585;1608302084000;4.0
1;18-12-2020_02:35:35:499;1608302135499;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.28898404722585;1608302084000;4.0
1;18-12-2020_02:35:36:320;1608302136320;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.5151223186471;1608302085000;4.723
1;18-12-2020_02:35:37:394;1608302137394;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.72193039111062;1608302086000;4.844
1;18-12-2020_02:35:38:463;1608302138463;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.91255394177057;1608302087000;4.723
1;18-12-2020_02:35:38:793;1608302138793;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587859;51.5170368;131.91255394177057;1608302087000;4.723
1;18-12-2020_02:35:39:541;1608302139541;LTE;LTE;LTE;26378754;488;13499;55;9;-85;-7;not available;12;5;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4587886;51.5170351;132.08873692342422;1608302088000;4.844
