Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL
0;18-12-2020_02:10:21:372;1608300621356;LTE;LTE;;0;8;0;42;0;-98;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:372;1608300621356;LTE;LTE;;0;166;0;41;0;-99;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:372;1608300621356;LTE;LTE;;0;371;0;40;0;-100;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:372;1608300621356;LTE;LTE;;0;199;0;43;0;-97;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:401;1608300621386;LTE;LTE;;0;8;0;42;0;-98;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:401;1608300621386;LTE;LTE;;0;166;0;41;0;-99;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:401;1608300621386;LTE;LTE;;0;371;0;40;0;-100;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:401;1608300621386;LTE;LTE;;0;199;0;43;0;-97;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:430;1608300621420;LTE;LTE;;0;8;0;42;0;-98;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;18-12-2020_02:10:21:430;1608300621420;LTE;LTE;;0;166;0;41;0;-99;-16;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
