count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;NR;LTE, NR;LTE, NR;27204352;484;13499;63;6;-77;-8;not available;1;3;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4561312;51.4979706;198.29186608262495;1608301074369;22.0;1608301122402;1608301123309;UDP;download;4194304;0.086018;18739;2344;27134072;2.207906252179776E9;0.294027;18739;2344;-1;7.382742945375766E8;7.382742945375766E8;12.508671754095737;12.0;0.016182343294034136;0;-1;false;;;;;;1608301122400;1608301125481;36.662;63.218;108.946;28.626;0.0;true
1;NR;LTE, NR;LTE, NR;27204352;484;13499;57;6;-83;-9;not available;1;3;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.458406;51.4979847;164.8932398943678;1608301086867;12.0;1608301135545;1608301137865;UDP;download;7340032;0.366771;33242;1972;48134416;9.87623558023944E8;0.550842;33242;1972;-1;6.990667523536694E8;6.990667523536694E8;5.93225437699296;5.0;0.031989343160594784;0;-1;false;;;;;;1608301135542;1608301138589;27.676;181.785;404.427;141.684;0.0;true
2;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4608928;51.4981573;169.12798534069077;1608301099999;6.0;1608301148657;1608301149365;TCP;download;104858;0.234419;-1;-1;172920;5901228.142769998;0.191239;-1;-1;105304;4405126.56937131;-1.0;0.0;0.0;-1.0;-1;0;false;18824;32810;32810;32810;5901228.142769998;1608301148657;1608301151705;27.264;49.739;112.088;36.04;0.0;true
3;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4633331;51.4983152;168.74886655136896;1608301112999;6.0;1608301161774;1608301163383;UDP;download;9437184;0.240478;25777;2410;37325096;1.125605369306132E9;0.394044;25777;2410;-1;7.577853437687162E8;7.577853437687162E8;9.34942002560422;9.0;0.008076873010138303;0;-1;false;;;;;;1608301161773;1608301164830;29.907;148.091;394.427;147.15;0.0;true
4;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4659569;51.4985072;167.93671591600236;1608301126999;6.0;1608301174900;1608301177319;TCP;upload;9437184;1.607874;-1;-1;9448980;4.70135346426399E7;1.84007;-1;-1;8413004;3.657688674887368E7;-1.0;0.0;0.0;-1.0;-1;1;false;4407712;516939;33017;303844;4.70135346426399E7;1608301174889;1608301177963;44.741;225.769;447.963;160.956;0.0;true
5;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4682999;51.498683;164.9925168983104;1608301139999;4.4;1608301188038;1608301188645;TCP;upload;524288;0.112831;-1;-1;550410;3.902544513475906E7;0.15504;-1;-1;202445;1.0446078431372548E7;-1.0;0.0;0.0;-1.0;-1;0;false;115840;34252;30972;32612;3.902544513475906E7;1608301188035;1608301191091;27.229;54.046;103.481;29.237;0.0;true
6;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4699768;51.4984572;168.73175912843405;1608301153999;4.0;1608301201149;1608301205679;TCP;upload;10485760;3.796938;-1;-1;10922688;2.30136768101033E7;3.959694;-1;-1;9923048;2.00481107883589E7;-1.0;0.0;0.0;-1.0;-1;1;false;4526448;1427173;39529;680939;2.30136768101033E7;1608301201143;1608301204666;102.177;648.978;1256.866;419.987;0.0;true
7;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4685944;51.4983173;172.19602927019025;1608301166999;5.333;1608301215778;1608301217097;TCP;upload;5242880;0.708185;-1;-1;5498992;6.211927109441742E7;0.891923;-1;-1;4773232;4.2812951342212275E7;-1.0;0.0;0.0;-1.0;-1;0;false;3553392;281931;32619;148305;6.211927109441742E7;1608301215776;1608301218826;27.36;103.598;232.71;80.316;0.0;true
8;NR;LTE, NR;LTE, NR;41211905;49;13499;43;9;-97;-12;not available;-1;7;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4683448;51.499395;170.15456857238337;1608301179999;5.0;1608301228883;1608301229896;UDP;download;10485760;0.16982;25558;2420;37007984;1.5783217053350606E9;0.388811;25558;2420;-1;7.614596089102417E8;7.614596089102417E8;9.46865951952422;9.0;0.00953412237032166;0;-1;false;;;;;;1608301228880;1608301231936;27.274;48.517;74.322;21.039;0.0;true
9;NR;LTE, NR;LTE, NR;26988801;137;13499;45;13;-95;-7;not available;15;10;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.4681284;51.4999505;170.33038777655054;1608301193999;4.0;1608301241976;1608301242581;UDP;download;2097152;0.028387;9912;2272;14352576;3.1176862648395395E9;0.153667;9912;2272;-1;7.472040711408435E8;7.472040711408435E8;22.92171105730428;22.0;0.019346009821352525;0;-1;false;;;;;;1608301241975;1608301245028;28.122;55.453;106.884;30.363;0.0;true
