count;timestampStart;timestampEnd;Protocol;direction;filesize_Byte;start;end;duration;bytes;bits_per_second;packets_retransmits;omitted;sender
0;1608300621438;1608300624549;UDP;upload;9437184;0.0;0.100055;0.10005500167608261;2982880;2.384992214307691E8;2060;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.100055;0.200095;0.100040003657341;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.200095;0.300012;0.0999170020222664;641464;5.135974755183712E7;443;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.300012;0.400073;0.10006099939346313;147696;1.180847690071333E7;102;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.400073;0.500093;0.10001999884843826;757304;6.05722062562751E7;523;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.500093;0.600095;0.1000019982457161;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.600095;0.700116;0.10002099722623825;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.700116;0.800099;0.09998299926519394;841288;6.731448395690358E7;581;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.800099;0.900111;0.10001199692487717;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;0.900111;1.000899;0.10078799724578857;831152;6.597230009228939E7;574;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.000899;1.100127;0.09922800213098526;13032;1050671.1589575044;9;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.100127;1.200106;0.0999789983034134;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.200106;1.300063;0.09995699673891068;832600;6.663665593513298E7;575;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.300063;1.400091;0.10002800077199936;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.400091;1.500082;0.09999100118875504;861560;6.89310029708466E7;595;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.500082;1.600102;0.10001999884843826;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.600102;1.700092;0.09999000281095505;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.700092;1.800095;0.10000299662351608;826808;6.61426579535576E7;571;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.800095;1.900091;0.09999600052833557;0;0.0;0;false;true;
0;1608300621438;1608300624549;UDP;upload;9437184;1.900091;1.930699;0.030608000233769417;702280;1.8355462483960214E8;485;false;true;
1;1608300634752;1608300636161;UDP;download;1048576;0.0;0.044116;0.044116001576185226;1049800;1.9037083370977205E8;0;false;false;
2;1608300647873;1608300651101;TCP;download;3145728;0.0;0.100179;0.10017900168895721;28960;2312660.299004938;0;false;false;
2;1608300647873;1608300651101;TCP;download;3145728;0.100179;0.200224;0.10004500299692154;33304;2663121.51550636;;false;false;
2;1608300647873;1608300651101;TCP;download;3145728;0.200224;0.300207;0.09998299926519394;30408;2433053.636996515;;false;false;
2;1608300647873;1608300651101;TCP;download;3145728;0.300207;0.400449;0.1002419963479042;57920;4622413.927111375;;false;false;
2;1608300647873;1608300651101;TCP;download;3145728;0.400449;0.500196;0.09974700212478638;66608;5342155.540006824;;false;false;
