Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;1608300621436;1608300624476;31.182;408.47;774.402;337.623;0.0;true
1;1608300634749;1608300637803;27.74;115.371;268.89;94.683;0.0;true
2;1608300647871;1608300651083;30.955;88.177;184.903;63.415;0.0;true
3;1608300661173;1608300664230;27.716;32.863;46.238;7.754;0.0;true
4;1608300674346;1608300678355;39.142;755.467;1020.582;414.007;0.0;true
5;1608300688573;1608300691665;30.812;61.76;122.513;37.059;0.0;true
6;1608300701729;1608300704821;28.336;230.309;716.81;282.739;0.0;true
7;1608300714915;1608300717996;41.486;220.895;657.515;254.154;0.0;true
8;1608300728045;1608300731246;41.531;311.454;556.277;210.036;0.0;true
9;1608300741447;1608300744498;25.627;28.372;32.794;2.683;0.0;true
10;1608300754543;1608300757593;25.717;29.426;38.692;5.367;0.0;true
11;1608300767665;1608300770710;27.262;54.7;85.72;20.909;0.0;true
12;1608300780774;1608300783826;27.32;242.359;572.734;228.314;0.0;true
13;1608300793872;1608300796946;28.905;46.114;85.12;22.76;0.0;true
14;1608300806990;1608300810053;28.772;67.404;164.68;56.5;0.0;true
15;1608300820102;1608300823157;26.929;59.833;134.284;43.866;0.0;true
16;1608300833201;1608300836257;28.781;57.931;135.451;44.874;0.0;true
17;1608300846350;1608300849412;28.683;53.438;108.905;32.285;0.0;true
18;1608300859465;1608300862534;26.975;31.247;40.494;5.426;0.0;true
0;1608301122400;1608301125481;36.662;63.218;108.946;28.626;0.0;true
1;1608301135542;1608301138589;27.676;181.785;404.427;141.684;0.0;true
2;1608301148657;1608301151705;27.264;49.739;112.088;36.04;0.0;true
3;1608301161773;1608301164830;29.907;148.091;394.427;147.15;0.0;true
4;1608301174889;1608301177963;44.741;225.769;447.963;160.956;0.0;true
5;1608301188035;1608301191091;27.229;54.046;103.481;29.237;0.0;true
6;1608301201143;1608301204666;102.177;648.978;1256.866;419.987;0.0;true
7;1608301215776;1608301218826;27.36;103.598;232.71;80.316;0.0;true
8;1608301228880;1608301231936;27.274;48.517;74.322;21.039;0.0;true
9;1608301241975;1608301245028;28.122;55.453;106.884;30.363;0.0;true
10;1608301255062;1608301258122;29.267;53.297;104.195;30.238;0.0;true
11;1608301268166;1608301271213;25.231;74.492;187.082;66.159;0.0;true
12;1608301281303;1608301284382;33.708;365.548;1196.462;482.681;0.0;true
13;1608301294430;1608301297491;34.081;94.947;261.18;96.139;0.0;true
14;1608301307529;1608301310587;27.905;181.261;581.386;231.646;0.0;true
15;1608301320627;1608301323682;26.694;169.753;574.526;233.748;0.0;true
16;1608301333732;1608301336793;27.141;33.524;47.877;8.512;0.0;true
17;1608301346842;1608301349898;28.637;41.937;55.08;10.53;0.0;true
18;1608301360125;1608301364187;221.379;221.379;221.379;0.0;75.0;true
19;1608301375195;1608301379245;35.945;143.036;200.066;75.779;25.0;true
