count;timestampStart;timestampEnd;Protocol;direction;filesize_Byte;start;end;duration;bytes;bits_per_second;packets_retransmits;omitted;sender
0;1608304253914;1608304256225;UDP;download;7340032;0.0;0.100023;0.10002300143241882;1817240;1.4534576839130986E8;0;false;false;
0;1608304253914;1608304256225;UDP;download;7340032;0.100023;0.200112;0.10008899867534637;1947560;1.5566625909144735E8;1346;false;false;
0;1608304253914;1608304256225;UDP;download;7340032;0.200112;0.300111;0.09999900311231613;1901224;1.520994362605473E8;1313;false;false;
0;1608304253914;1608304256225;UDP;download;7340032;0.300111;0.400045;0.09993399679660797;246160;1.9705806463520158E7;170;false;false;
0;1608304253914;1608304256225;UDP;download;7340032;0.400045;0.418517;0.01847199909389019;1429176;6.189588870097834E8;987;false;false;
1;1608304268025;1608304269447;UDP;upload;4194304;0.0;0.100124;0.10012400150299072;2241504;1.790982354961549E8;1548;false;true;
1;1608304268025;1608304269447;UDP;upload;4194304;0.100124;0.200119;0.0999950021505356;357656;2.861391008015169E7;247;false;true;
1;1608304268025;1608304269447;UDP;upload;4194304;0.200119;0.300135;0.10001599788665771;692144;5.5362663143899545E7;478;false;true;
1;1608304268025;1608304269447;UDP;upload;4194304;0.300135;0.400104;0.0999689996242523;767440;6.1414238644742444E7;530;false;true;
1;1608304268025;1608304269447;UDP;upload;4194304;0.400104;0.470457;0.07035300135612488;136112;1.5477605489608604E7;94;false;true;
2;1608304281134;1608304283648;TCP;download;5242880;0.0;0.100112;0.10011199861764908;63712;5091257.861574087;0;false;false;
2;1608304281134;1608304283648;TCP;download;5242880;0.100112;0.200421;0.10030899941921234;55024;4388359.99310835;;false;false;
2;1608304281134;1608304283648;TCP;download;5242880;0.200421;0.30007;0.09964899718761444;70952;5696153.659542798;;false;false;
2;1608304281134;1608304283648;TCP;download;5242880;0.30007;0.400131;0.10006099939346313;79640;6367315.975874835;;false;false;
2;1608304281134;1608304283648;TCP;download;5242880;0.400131;0.500106;0.09997499734163284;86880;6952138.2193682;;false;false;
2;1608304281134;1608304283648;TCP;download;5242880;0.500106;0.600123;0.1000170037150383;108600;8686522.96838772;;false;false;
