counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
0;1608304253914;1608304256225;UDP;download;7340032;0.418517;72549;2544;105050952;1.937646308274216E9;0.889558;72549;2544;-1;9.447474093875835E8;9.447474093875835E8;3.50659554232312;3.0;0.00867478908847805;0;-1;false;;;;;
1;1608304268025;1608304269447;UDP;upload;4194304;0.470457;2897;0;4194856;8916555.604444189;-1.0;-1;-1;-1;-1.0;7.13324448355535E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
2;1608304281134;1608304283648;TCP;download;5242880;2.12842;-1;-1;6428348;2.4161952997998513E7;1.985006;-1;-1;5246104;2.114292450501409E7;-1.0;0.0;0.0;-1.0;-1;0;false;272224;36848;30511;33878;2.4161952997998513E7
3;1608304294287;1608304295195;UDP;download;2097152;0.071516;10189;2093;14753672;1.3113717769450195E9;0.235035;10189;2093;-1;5.021778713808582E8;5.021778713808582E8;20.54176072234763;20.0;0.015802278731393334;0;-1;false;;;;;
4;1608304307396;1608304308607;UDP;upload;5242880;0.571104;3621;0;5243208;9180828.710707683;-1.0;-1;-1;-1;-1.0;7.344662968566146E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
5;1608304320509;1608304321428;TCP;upload;2097152;0.357824;-1;-1;2201850;4.92275532105169E7;0.440204;-1;-1;1712018;3.1113174800774187E7;-1.0;0.0;0.0;-1.0;-1;0;false;1303200;97547;40752;60948;4.92275532105169E7
6;1608304333619;1608304334032;TCP;upload;524288;0.006096;-1;-1;550410;7.223228346456693E8;0.055997;-1;-1;14205;2029394.4318445632;-1.0;0.0;0.0;-1.0;-1;0;false;14480;28645;28645;28645;7.223228346456693E8
7;1608304346721;1608304347124;TCP;upload;524288;0.001379;-1;-1;550410;3.1930964467005076E9;0.052392;-1;-1;5242;800427.546190258;-1.0;0.0;0.0;-1.0;-1;0;false;14480;28079;28079;28079;3.1930964467005076E9
8;1608304359824;1608304363353;UDP;upload;10485760;2.50355;7242;0;10486416;4188618.5616424675;-1.0;-1;-1;-1;-1.0;3.350894849313974E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
9;1608304373427;1608304376143;TCP;download;5242880;2.283751;-1;-1;6494956;2.275188845018568E7;2.248112;-1;-1;5267974;1.8746304454582334E7;-1.0;0.0;0.0;-1.0;-1;0;false;276568;41335;38587;39648;2.275188845018568E7
10;1608304386540;1608304388049;UDP;download;2097152;0.112739;26978;2549;39064144;2.5100944304987626E9;0.500255;26978;2549;-1;6.247077030714335E8;6.247077030714335E8;9.448439469197124;9.0;0.029701572066364708;0;-1;false;;;;;
11;1608304399659;1608304403588;UDP;download;8388608;0.579691;81491;1449;117998968;1.5994840837618663E9;1.252112;81491;1449;-1;7.53919572689983E8;7.53919572689983E8;1.77811046618645;1.0;0.0552341096699296;0;-1;false;;;;;
12;1608304413758;1608304415068;TCP;upload;1048576;0.411774;-1;-1;1100820;2.138687726762739E7;0.535503;-1;-1;871146;1.301424641878757E7;-1.0;0.0;0.0;-1.0;-1;0;false;472048;88450;46603;60518;2.138687726762739E7
13;1608304426878;1608304428089;TCP;download;524288;0.849429;-1;-1;681460;6418052.59768621;0.797572;-1;-1;525074;5266724.508884464;-1.0;0.0;0.0;-1.0;-1;0;false;40544;33979;33979;33979;6418052.59768621
