Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;1608304253914;1608304257927;53.785;144.988;222.69;69.613;25.0;true
1;1608304268021;1608304271075;26.97;165.491;314.219;136.182;0.0;true
2;1608304281132;1608304284210;27.754;36.986;53.629;10.452;0.0;true
3;1608304294286;1608304297336;27.92;33.953;50.258;9.428;0.0;true
4;1608304307393;1608304310443;26.353;54.858;104.784;31.52;0.0;true
5;1608304320505;1608304323560;26.153;33.254;51.957;10.819;0.0;true
6;1608304333614;1608304336677;26.939;37.943;57.017;12.278;0.0;true
7;1608304346720;1608304349765;27.928;28.522;29.037;0.452;0.0;true
8;1608304359814;1608304363235;36.757;409.971;632.525;232.066;0.0;true
9;1608304373427;1608304376490;30.297;41.044;67.06;15.148;0.0;true
10;1608304386538;1608304389599;27.288;126.122;379.948;147.154;0.0;true
11;1608304399656;1608304403708;256.34;517.679;779.018;261.339;50.0;true
12;1608304413753;1608304416809;28.191;137.618;347.685;130.17;0.0;true
13;1608304426868;1608304429924;26.331;38.557;54.808;10.411;0.0;true
14;1608304440023;1608304444091;206.417;1093.124;1979.832;886.708;50.0;true
15;1608304454699;1608304457753;27.345;130.009;432.103;174.418;0.0;true
16;1608304467842;1608304471532;38.798;448.905;667.567;242.048;0.0;true
17;1608304483655;1608304487822;51.331;284.592;568.486;214.142;25.0;true
18;1608304497861;1608304500923;30.998;46.522;76.164;17.472;0.0;true
19;1608304510960;1608304514006;25.349;150.177;327.448;129.414;0.0;true
20;1608304524076;1608304527128;28.166;128.956;231.425;99.506;0.0;true
21;1608304537174;1608304540218;28.824;240.261;856.358;355.767;0.0;true
22;1608304550256;1608304553324;32.423;164.888;310.742;121.149;0.0;true
23;1608304563391;1608304566447;32.121;40.051;53.747;8.282;0.0;true
24;1608304576495;1608304579550;26.555;39.967;65.581;15.263;0.0;true
25;1608304589600;1608304592653;28.427;105.592;304.281;115.037;0.0;true
26;1608304602696;1608304605832;26.981;52.007;112.266;35.194;0.0;true
27;1608304615881;1608304619910;39.051;90.286;180.596;64.052;25.0;true
28;1608304629950;1608304633033;36.834;84.334;208.392;71.976;0.0;true
29;1608304643066;1608304646135;36.795;47.672;60.847;9.84;0.0;true
30;1608304656185;1608304659230;26.914;38.538;66.742;16.471;0.0;true
31;1608304669268;1608304673425;38.648;220.194;569.54;247.088;25.0;true
32;1608304683465;1608304686527;35.395;197.269;262.978;94.08;0.0;true
33;1608304696588;1608304700638;61.337;61.337;61.337;0.0;75.0;true
34;1608304711357;1608304714408;29.112;42.821;59.393;13.657;0.0;true
35;1608304724457;1608304727516;33.308;117.503;340.537;129.178;0.0;true
36;1608304737561;1608304741182;180.764;427.157;641.334;192.702;0.0;true
37;1608304753102;1608304757182;71.469;71.469;71.469;0.0;75.0;true
0;1608305808185;1608305811235;26.665;74.222;214.022;80.717;0.0;true
1;1608305821284;1608305824338;28.088;39.638;70.626;17.909;0.0;true
2;1608305834390;1608305837457;33.222;37.592;44.66;4.28;0.0;true
3;1608305847511;1608305850591;46.228;55.654;68.628;8.61;0.0;true
4;1608305860644;1608305864702;53.741;53.741;53.741;0.0;75.0;true
5;1608305890064;1608305893133;33.3;44.808;52.991;7.822;0.0;true
6;1608305903197;1608305906261;51.218;260.276;686.628;258.752;0.0;true
7;1608305916301;1608305919356;34.329;43.584;59.442;9.582;0.0;true
8;1608305929406;1608305932465;38.369;46.952;69.125;12.823;0.0;true
