count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;LTE;LTE;LTE;27205377;145;13601;48;7;-92;-9;not available;10;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7106125;51.2334012;84.17020355771172;1609251806999;4.4;1609251874866;1609251883411;UDP;upload;6291456;7.071897;4345;592;6291560;768442.187435705;-1.0;-1;-1;-1;-1.0;7117252.98035308;13.624856156501727;-1.0;-1.0;-1;-1;false;;;;;;1609251874867;1609251878916;41.732;1147.566;2206.773;884.489;25.0;true
1;LTE;LTE;LTE;27205377;145;13601;48;7;-92;-9;not available;10;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7140071;51.2331007;87.20295863114892;1609251819999;4.0;1609251893496;1609251894212;TCP;download;104858;0.138067;-1;-1;524000;3.0362070588916976E7;0.095431;-1;-1;104904;8794123.50284499;-1.0;0.0;0.0;-1.0;-1;0;false;121632;37928;37928;37928;3.0362070588916976E7;1609251893495;1609251896566;34.29;41.868;59.368;10.304;0.0;true
2;NR;LTE, NR;LTE, NR;27205377;145;13601;48;7;-92;-9;not available;10;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7173111;51.233361;88.13453698393728;1609251835999;4.0;1609251906610;1609251912539;UDP;upload;8388608;4.742722;5794;0;8389712;1768965.5855856617;-1.0;-1;-1;-1;-1.0;1.4151724684685294E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609251906603;1609251910659;67.549;1445.517;2441.817;1006.162;25.0;true
3;NR;LTE, NR;LTE, NR;27205377;145;13601;48;7;-92;-9;not available;10;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.719593;51.2337016;90.13572879318771;1609251846999;4.0;1609251922607;1609251924015;UDP;upload;4194304;0.515125;2897;0;4194856;8143374.909002668;-1.0;-1;-1;-1;-1.0;6.5146999272021346E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609251922604;1609251925663;34.627;99.337;269.742;98.828;0.0;true
4;NR;LTE, NR;LTE, NR;27205377;145;13601;48;7;-92;-9;not available;10;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.719593;51.2337016;90.13572879318771;1609251846999;4.0;1609251935728;1609251937949;UDP;upload;7340032;1.365365;5070;0;7341360;5376847.949083213;-1.0;-1;-1;-1;-1.0;4.30147835926657E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609251935722;1609251938802;45.527;182.454;498.867;185.296;0.0;true
5;NR;LTE, NR;LTE, NR;27290882;410;13601;43;5;-97;-13;not available;-10;20;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7263948;51.2342854;89.4000015258789;1609251877000;5.6;1609251948870;1609251953897;UDP;download;524288;0.059426;198057;2076;286786536;-3.3313772939523624E10;1.948139;198057;2076;-1;1.177684081064031E9;1.177684081064031E9;1.0481830988048895;1.0;0.13674710000463833;0;-1;false;;;;;;1609251948864;1609251952932;75.56;75.56;75.56;0.0;75.0;true
6;NR;LTE, NR;LTE, NR;27290882;410;13601;43;5;-97;-13;not available;-10;20;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7298487;51.2340882;89.4000015258789;1609251893000;4.0;1609251963934;1609251969971;UDP;upload;10485760;4.630424;7242;0;10486416;2264677.273614684;-1.0;-1;-1;-1;-1.0;1.8117418188917473E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609251963930;1609251968103;38.676;985.362;1432.514;558.024;0.0;true
7;NR;LTE, NR;LTE, NR;27290882;410;13601;43;5;-97;-13;not available;-10;20;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7323433;51.2345006;89.4000015258789;1609251905000;4.0;1609251980051;1609251981160;TCP;upload;2097152;0.549701;-1;-1;2201850;3.204432955370283E7;0.66976;-1;-1;1620794;1.9359698996655516E7;-1.0;0.0;0.0;-1.0;-1;0;false;1217768;165730;44689;101042;3.204432955370283E7;1609251980045;1609251983112;30.124;33.234;37.342;3.139;0.0;true
8;NR;LTE, NR;LTE, NR;28810498;74;13601;88;12;-52;-6;not available;17;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7344291;51.2362349;89.4000015258789;1609251920000;4.0;1609251993151;1609251996172;TCP;download;7340032;2.528802;-1;-1;9046808;2.862005961716259E7;2.491482;-1;-1;7361632;2.3637760979208358E7;-1.0;0.0;0.0;-1.0;-1;0;false;376480;48784;36653;42384;2.86200596171626E7;1609251993152;1609251996210;31.118;38.832;47.448;6.127;0.0;true
9;NR;LTE, NR;LTE, NR;28810498;74;13601;88;12;-52;-6;not available;17;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.7360035;51.238005;87.64922873878803;1609251933000;4.0;1609252006256;1609252007966;UDP;download;4194304;0.315265;23655;1405;34252440;8.175471428797995E8;0.596821;23655;1405;-1;4.591318334978159E8;4.591318334978159E8;5.9395476643415765;5.0;0.0371042192783422;14;-1;false;;;;;;1609252006253;1609252009314;36.601;182.814;580.679;229.902;0.0;true
