counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
0;1609251874866;1609251883411;UDP;upload;6291456;7.071897;4345;592;6291560;768442.187435705;-1.0;-1;-1;-1;-1.0;7117252.98035308;13.624856156501727;-1.0;-1.0;-1;-1;false;;;;;
1;1609251893496;1609251894212;TCP;download;104858;0.138067;-1;-1;524000;3.0362070588916976E7;0.095431;-1;-1;104904;8794123.50284499;-1.0;0.0;0.0;-1.0;-1;0;false;121632;37928;37928;37928;3.0362070588916976E7
2;1609251906610;1609251912539;UDP;upload;8388608;4.742722;5794;0;8389712;1768965.5855856617;-1.0;-1;-1;-1;-1.0;1.4151724684685294E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
3;1609251922607;1609251924015;UDP;upload;4194304;0.515125;2897;0;4194856;8143374.909002668;-1.0;-1;-1;-1;-1.0;6.5146999272021346E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
4;1609251935728;1609251937949;UDP;upload;7340032;1.365365;5070;0;7341360;5376847.949083213;-1.0;-1;-1;-1;-1.0;4.30147835926657E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
5;1609251948870;1609251953897;UDP;download;524288;0.059426;198057;2076;286786536;-3.3313772939523624E10;1.948139;198057;2076;-1;1.177684081064031E9;1.177684081064031E9;1.0481830988048895;1.0;0.13674710000463833;0;-1;false;;;;;
6;1609251963934;1609251969971;UDP;upload;10485760;4.630424;7242;0;10486416;2264677.273614684;-1.0;-1;-1;-1;-1.0;1.8117418188917473E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
7;1609251980051;1609251981160;TCP;upload;2097152;0.549701;-1;-1;2201850;3.204432955370283E7;0.66976;-1;-1;1620794;1.9359698996655516E7;-1.0;0.0;0.0;-1.0;-1;0;false;1217768;165730;44689;101042;3.204432955370283E7
8;1609251993151;1609251996172;TCP;download;7340032;2.528802;-1;-1;9046808;2.862005961716259E7;2.491482;-1;-1;7361632;2.3637760979208358E7;-1.0;0.0;0.0;-1.0;-1;0;false;376480;48784;36653;42384;2.86200596171626E7
9;1609252006256;1609252007966;UDP;download;4194304;0.315265;23655;1405;34252440;8.175471428797995E8;0.596821;23655;1405;-1;4.591318334978159E8;4.591318334978159E8;5.9395476643415765;5.0;0.0371042192783422;14;-1;false;;;;;
10;1609252019357;1609252020172;UDP;upload;2097152;0.048688;1449;0;2098152;4.3093821886296414E7;-1.0;-1;-1;-1;-1.0;3.447505750903713E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
11;1609252032468;1609252032974;TCP;upload;524288;0.003588;-1;-1;550410;1.2272240802675586E9;0.052933;-1;-1;9861;1490336.8409120964;-1.0;0.0;0.0;-1.0;-1;0;false;14480;30491;30491;30491;1.2272240802675586E9
12;1609252045570;1609252055581;TCP;upload;1048576;2.111337;-1;-1;1100820;4171082.1152662984;8.175248;-1;-1;896932;877704.9943928306;-1.0;0.0;0.0;-1.0;-1;0;true;456120;1180246;54498;612090;4171082.1152662984
13;1609252066676;1609252073317;TCP;download;524288;5.710546;-1;-1;629040;881232.7227554073;4.406016;-1;-1;525074;953376.474347801;-1.0;0.0;0.0;-1.0;-1;11;false;30408;71048;46677;51778;881232.7227554073
14;1609252083379;1609252085895;UDP;upload;524288;0.012043;363;0;525624;4.364560325500291E7;-1.0;-1;-1;-1;-1.0;3.4916482604002327E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
15;1609252096510;1609252106516;UDP;download;1048576;0.259306;145337;2306;210447976;6.389636583804463E9;1.400474;145337;2306;-1;1.20215284824995E9;1.20215284824995E9;1.586657217363782;1.0;0.4136802678415244;0;-1;true;;;;;
16;1609252118255;1609252122474;UDP;download;5242880;0.099184;139169;34718;201516712;1.2199148894983065E10;1.339452;139169;34718;-1;1.20357705688595E9;1.20357705688595E9;24.946647601118066;24.0;0.014070456406199371;0;-1;false;;;;;
17;1609252132517;1609252142522;UDP;upload;10485760;18.277874;7242;1584;10486416;448235.0627868427;-1.0;-1;-1;-1;-1.0;4589774.93771978;21.87241093620547;-1.0;-1.0;-1;-1;true;;;;;
18;1609252161646;1609252165365;TCP;upload;5242880;3.100623;-1;-1;5342140;1.3783397723618768E7;3.17871;-1;-1;5110558;1.2861967276033359E7;-1.0;0.0;0.0;-1.0;-1;13;false;518384;81277;39305;56299;1.3783397723618768E7
19;1609252175428;1609252176639;TCP;upload;4194304;0.699791;-1;-1;4403910;5.034543170746694E7;0.771476;-1;-1;3879286;4.02271593672389E7;-1.0;0.0;0.0;-1.0;-1;0;false;2195168;144191;46340;94885;5.034543170746694E7
20;1609252188534;1609252190654;TCP;upload;8388608;1.478085;-1;-1;8781030;4.752652249363196E7;1.56134;-1;-1;8017956;4.10824343192386E7;-1.0;0.0;0.0;-1.0;-1;97;false;2531104;184716;46737;122430;4.752652249363196E7
21;1609252201645;1609252203257;TCP;download;1048576;1.175281;-1;-1;1300094;8849587.460360544;1.132797;-1;-1;1048700;7406093.059921592;-1.0;0.0;0.0;-1.0;-1;0;false;66608;36879;35857;36368;8849587.460360544
22;1609252214790;1609252221426;TCP;download;6291456;6.201429;-1;-1;7162420;9239702.655629855;6.168374;-1;-1;6293008;8161642.5981952455;-1.0;0.0;0.0;-1.0;-1;11;false;150592;175873;36505;87815;9239702.655629855
23;1609252231566;1609252232675;UDP;upload;5242880;0.476643;3621;0;5243208;1.1000283230845727E7;-1.0;-1;-1;-1;-1.0;8.80022658467658E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
24;1609252244665;1609252247483;TCP;download;4194304;2.305558;-1;-1;5129410;1.779841582818563E7;2.24435;-1;-1;4199200;1.4968075389310937E7;-1.0;0.0;0.0;-1.0;-1;0;false;224440;47273;39326;43522;1.779841582818563E7
25;1609252257837;1609252258945;UDP;download;4194304;0.085944;11631;1200;16841688;1.4059469421949174E9;0.276368;11631;1200;-1;4.8751484976553E8;4.8751484976553E8;10.317255610007738;10.0;0.01409419188057131;0;-1;false;;;;;
26;1609252270940;1609252272949;UDP;download;8388608;0.154273;37223;2108;53898904;2.636703506122264E9;0.592058;37223;2108;-1;7.282922146141088E8;7.282922146141088E8;5.66316524729334;5.0;0.0057360949177924225;0;-1;false;;;;;
27;1609252284062;1609252287396;TCP;upload;10485760;2.33678;-1;-1;10940064;3.7453466736278124E7;2.63722;-1;-1;9985312;3.0290417940103594E7;-1.0;0.0;0.0;-1.0;-1;2;false;4568440;526864;48819;371422;3.7453466736278124E7
28;1609252297471;1609252298381;TCP;upload;1048576;0.293942;-1;-1;1100820;2.9960196229188073E7;0.417346;-1;-1;1082276;2.074587512519588E7;-1.0;0.0;0.0;-1.0;-1;0;false;599472;67483;44014;54379;2.9960196229188073E7
