Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;1609251874867;1609251878916;41.732;1147.566;2206.773;884.489;25.0;true
1;1609251893495;1609251896566;34.29;41.868;59.368;10.304;0.0;true
2;1609251906603;1609251910659;67.549;1445.517;2441.817;1006.162;25.0;true
3;1609251922604;1609251925663;34.627;99.337;269.742;98.828;0.0;true
4;1609251935722;1609251938802;45.527;182.454;498.867;185.296;0.0;true
5;1609251948864;1609251952932;75.56;75.56;75.56;0.0;75.0;true
6;1609251963930;1609251968103;38.676;985.362;1432.514;558.024;0.0;true
7;1609251980045;1609251983112;30.124;33.234;37.342;3.139;0.0;true
8;1609251993152;1609251996210;31.118;38.832;47.448;6.127;0.0;true
9;1609252006253;1609252009314;36.601;182.814;580.679;229.902;0.0;true
10;1609252019352;1609252022415;30.104;40.388;66.927;15.35;0.0;true
11;1609252032464;1609252035520;29.947;36.465;42.884;5.699;0.0;true
12;1609252045567;1609252050433;129.956;522.164;914.373;392.209;50.0;true
13;1609252066675;1609252070727;288.662;288.662;288.662;0.0;75.0;true
14;1609252083374;1609252086475;68.264;543.012;1381.914;498.905;0.0;true
15;1609252096510;1609252100581;45.721;45.721;45.721;0.0;75.0;true
16;1609252118249;1609252122288;344.908;383.224;406.525;27.303;25.0;true
17;1609252132513;1609252136581;139.81;139.81;139.81;0.0;75.0;true
18;1609252161643;1609252164715;45.007;63.904;109.682;26.55;0.0;true
19;1609252175423;1609252178478;31.553;45.103;71.331;16.191;0.0;true
20;1609252188529;1609252191588;30.875;50.529;101.435;29.492;0.0;true
21;1609252201643;1609252204710;38.674;49.111;66.917;11.094;0.0;true
22;1609252214789;1609252217985;51.211;98.171;166.509;47.58;0.0;true
23;1609252231563;1609252234614;31.922;36.603;42.437;4.473;0.0;true
24;1609252244663;1609252247779;34.032;53.946;94.586;23.868;0.0;true
25;1609252257836;1609252260906;35.452;67.302;121.607;35.208;0.0;true
26;1609252270938;1609252274016;37.151;138.785;381.444;140.845;0.0;true
27;1609252284061;1609252287286;131.993;328.596;538.028;170.769;0.0;true
28;1609252297466;1609252300527;36.707;68.784;111.526;28.192;0.0;true
29;1609252310584;1609252314617;34.638;37.336;39.164;1.96;25.0;true
30;1609252324681;1609252328047;38.433;405.32;992.679;356.379;0.0;true
31;1609252338678;1609252341759;35.796;62.585;118.265;33.021;0.0;true
32;1609252351842;1609252354937;67.094;363.062;920.904;340.23;0.0;true
33;1609252364989;1609252368051;35.863;60.895;133.259;41.784;0.0;true
34;1609252378288;1609252381343;34.053;218.727;688.129;272.714;0.0;true
35;1609252391383;1609252395429;129.947;704.215;1285.701;460.087;0.0;true
36;1609252405591;1609252409624;40.534;62.35;86.429;18.806;25.0;true
37;1609252419695;1609252422773;45.069;314.485;575.541;194.033;0.0;true
38;1609252432952;1609252437006;104.404;256.379;388.739;116.906;25.0;true
39;1609252447048;1609252450186;104.821;339.339;600.831;230.65;0.0;true
40;1609252460343;1609252463399;33.559;112.195;255.269;88.257;0.0;true
41;1609252473443;1609252476503;36.127;90.382;250.143;92.246;0.0;true
42;1609252490165;1609252493235;32.065;55.113;110.012;31.913;0.0;true
43;1609252503540;1609252506631;31.995;459.763;1401.607;560.78;0.0;true
44;1609252516676;1609252520741;49.374;49.374;49.374;0.0;75.0;true
45;1609253013643;1609253016704;35.535;64.457;132.259;39.832;0.0;true
46;1609253026752;1609253029823;32.388;63.225;133.798;41.441;0.0;true
47;1609253039879;1609253042954;51.083;112.503;226.421;71.447;0.0;true
48;1609253053009;1609253056093;35.782;66.37;119.543;31.709;0.0;true
49;1609253066130;1609253069815;140.414;1165.78;2280.666;832.455;0.0;true
50;1609253080028;1609253083093;41.116;66.272;135.277;39.921;0.0;true
51;1609253093135;1609253096197;34.002;55.657;97.63;25.921;0.0;true
52;1609253106230;1609253109294;33.957;120.612;298.22;106.809;0.0;true
53;1609253119347;1609253123406;32.916;167.036;361.036;140.487;25.0;true
54;1609253133450;1609253136919;43.447;410.516;582.013;219.278;0.0;true
55;1609253147342;1609253150401;29.791;36.711;50.056;8.014;0.0;true
56;1609253160523;1609253163575;33.954;41.787;64.444;13.083;0.0;true
57;1609253173629;1609253176688;35.145;54.736;103.597;28.352;0.0;true
58;1609253187269;1609253190323;33.23;71.679;135.399;38.378;0.0;true
59;1609253200387;1609253203454;32.394;43.985;61.641;10.79;0.0;true
60;1609253213513;1609253216569;34.574;218.681;727.289;293.853;0.0;true
61;1609253226617;1609253229675;33.052;39.643;47.986;5.776;0.0;true
62;1609253239732;1609253242800;43.71;649.097;1745.183;691.551;0.0;true
63;1609253252849;1609253256900;46.753;46.753;46.753;0.0;75.0;true
64;1609253267345;1609253270409;34.039;39.571;47.398;5.665;0.0;true
65;1609253280455;1609253283524;33.696;43.78;56.082;8.027;0.0;true
66;1609253293597;1609253296654;29.474;32.963;38.261;3.364;0.0;true
67;1609253306785;1609253309829;30.467;95.491;285.634;109.792;0.0;true
68;1609253320470;1609253323530;31.072;139.668;415.322;159.502;0.0;true
69;1609253333581;1609253336642;32.203;49.675;61.222;10.682;0.0;true
70;1609253346696;1609253350734;49.594;151.646;337.394;131.557;25.0;true
71;1609253360782;1609253363841;33.166;110.419;335.02;129.7;0.0;true
72;1609253373900;1609253376975;34.744;49.874;79.79;18.389;0.0;true
73;1609253387034;1609253390121;32.798;59.614;104.145;29.257;0.0;true
74;1609253401237;1609253404295;31.64;51.795;72.376;15.986;0.0;true
