Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy
0;29-12-2020_11:45:00:618;1609242300618;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;29-12-2020_11:45:00:648;1609242300648;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;29-12-2020_11:45:00:682;1609242300682;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;0.0;0.0;0.0;0;0.0
0;29-12-2020_11:45:01:323;1609242301323;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4134505;51.1322661;115.20000457763672;1609242225000;5.333
0;29-12-2020_11:45:01:421;1609242301421;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4134505;51.1322661;115.20000457763672;1609242225000;5.333
0;29-12-2020_11:45:01:635;1609242301635;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4134505;51.1322661;115.20000457763672;1609242225000;5.333
0;29-12-2020_11:45:02:691;1609242302691;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4134912;51.1322746;115.20000457763672;1609242226000;4.571
0;29-12-2020_11:45:03:752;1609242303752;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4135376;51.1322857;115.20000457763672;1609242227000;4.5
1;29-12-2020_11:45:03:837;1609242303837;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4135376;51.1322857;115.20000457763672;1609242227000;4.5
1;29-12-2020_11:45:04:907;1609242304907;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4135752;51.1322946;115.20000457763672;1609242228000;4.0
1;29-12-2020_11:45:05:385;1609242305385;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4136105;51.1323027;115.20000457763672;1609242229000;4.0
1;29-12-2020_11:45:05:968;1609242305968;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4136105;51.1323027;115.20000457763672;1609242229000;4.0
1;29-12-2020_11:45:06:286;1609242306286;LTE;LTE;LTE;27188738;326;13611;46;11;-94;-6;not available;20;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4136425;51.1323103;115.20000457763672;1609242230000;4.0
1;29-12-2020_11:45:06:390;1609242306390;LTE;LTE;LTE;27188738;326;13611;46;11;-94;-6;not available;20;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4136425;51.1323103;115.20000457763672;1609242230000;4.0
1;29-12-2020_11:45:07:030;1609242307030;LTE;LTE;LTE;27188738;326;13611;46;11;-94;-6;not available;20;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4136425;51.1323103;115.20000457763672;1609242230000;4.0
