Count;Date;Timestamp;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL
0;29-12-2020_11:45:00:625;1609242300603;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:625;1609242300603;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:625;1609242300603;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:650;1609242300639;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:650;1609242300639;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:650;1609242300639;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:686;1609242300668;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:686;1609242300668;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:00:686;1609242300668;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:328;1609242301303;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:328;1609242301303;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:328;1609242301303;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:425;1609242301391;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:425;1609242301391;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:425;1609242301391;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:639;1609242301608;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:639;1609242301608;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:01:639;1609242301608;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:02:702;1609242302668;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:02:702;1609242302668;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:02:702;1609242302668;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:03:762;1609242303731;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:03:762;1609242303731;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
0;29-12-2020_11:45:03:762;1609242303731;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:03:848;1609242303731;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:03:848;1609242303731;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:03:848;1609242303731;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:04:920;1609242304883;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:04:920;1609242304883;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:04:920;1609242304883;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:05:395;1609242305352;LTE;LTE;;0;46;0;39;0;-101;-9;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:05:395;1609242305352;LTE;LTE;;0;326;0;36;0;-104;-12;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
1;29-12-2020_11:45:05:395;1609242305352;LTE;LTE;;0;296;0;40;0;-100;-11;not available;0;0;not available;-1;null;null;-1;-1;-1;-1;-1;-1;-1;-1;-1
