count;Type;Available;Registered;CI;PCI;TAC;ASU;CQI;RSRP;RSRQ;RSSI;RSSNR;TA;Bandwith;NCI;MCC;MNC;ARFCN;CSI_RSRP;CSI_RSRQ;CSI_SINR;CSI_RSRP_dbm;SS_RSRP;SS_RSRQ;SS_SINR;LEVEL;Longitude;Latitude;Altitude;Time;Accuracy;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;LTE;LTE;LTE;34596097;187;13611;38;10;-102;-10;not available;-2;4;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4135376;51.1322857;115.20000457763672;1609242227000;4.5;1609242300695;1609242302605;UDP;upload;4194304;0.726541;2897;0;4194856;5773736.100233848;-1.0;-1;-1;-1;-1.0;4.6189888801870786E7;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609242300694;1609242303749;40.16;216.317;542.852;205.554;0.0;true
1;LTE;LTE;LTE;27188738;326;13611;48;14;-92;-6;not available;18;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4137322;51.1323276;110.70000457763672;1609242238000;4.8;1609242313845;1609242314350;TCP;upload;104858;0.003346;-1;-1;110040;2.6309623430962342E8;0.059221;-1;-1;6316;853210.85425778;-1.0;0.0;0.0;-1.0;-1;0;false;14480;32676;32676;32676;2.6309623430962342E8;1609242313838;1609242316901;30.716;48.668;71.416;15.503;0.0;true
2;LTE;LTE;LTE;27188738;326;13611;48;14;-92;-6;not available;18;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4137322;51.1323276;110.70000457763672;1609242238000;4.8;1609242326961;1609242327575;TCP;download;104858;0.13214;-1;-1;387760;2.3475707582866654E7;0.092488;-1;-1;105152;9095406.97171525;-1.0;0.0;0.0;-1.0;-1;0;false;79640;41608;41608;41608;2.3475707582866654E7;1609242326964;1609242330022;32.626;43.185;58.996;11.018;0.0;true
3;LTE;LTE;LTE;27188738;326;13611;48;14;-92;-6;not available;18;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4137322;51.1323276;110.70000457763672;1609242238000;4.8;1609242340116;1609242340633;UDP;upload;104858;0.004045;73;0;105704;2.6132014833127316E7;-1.0;-1;-1;-1;-1.0;2.0905611866501853E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609242340103;1609242343177;31.316;33.316;38.316;2.894;0.0;true
4;LTE;LTE;LTE;27188738;326;13611;44;12;-96;-7;not available;16;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4166268;51.1329824;107.80000305175781;1609242279756;13.434;1609242353258;1609242356074;TCP;download;10485760;2.33968;-1;-1;12990016;4.4416385146686725E7;2.236661;-1;-1;10491060;3.75240056494927E7;-1.0;0.0;0.0;-1.0;-1;0;false;576304;44380;37599;40047;4.4416385146686725E7;1609242353257;1609242356335;42.985;47.714;57.549;5.76;0.0;true
5;LTE;LTE;LTE;27188738;326;13611;45;14;-95;-7;not available;14;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.416636;51.1329859;107.80000305175781;1609242292999;4.077;1609242366411;1609242368224;TCP;download;6291456;1.353225;-1;-1;8308432;4.911781558868629E7;1.300183;-1;-1;6306040;3.8800938021801546E7;-1.0;0.0;0.0;-1.0;-1;0;false;443088;46078;42409;44243;4.911781558868628E7;1609242366410;1609242369462;32.491;39.688;49.29;6.099;0.0;true
6;LTE;LTE;LTE;27188738;326;13611;44;10;-96;-7;not available;9;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.416632;51.1329936;107.9000015258789;1609242305999;4.0;1609242379517;1609242380021;UDP;upload;104858;0.002805;73;0;105704;3.7684135472370766E7;-1.0;-1;-1;-1;-1.0;3.014730837789661E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609242379512;1609242382578;33.847;39.228;42.264;3.22;0.0;true
7;LTE;LTE;LTE;27188738;326;13611;44;11;-96;-8;not available;14;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4168149;51.1330402;107.80000305175781;1609242318999;4.0;1609242392632;1609242395151;TCP;upload;6291456;1.779669;-1;-1;6605970;2.9695274795481633E7;1.893575;-1;-1;5835666;2.4654596728410546E7;-1.0;0.0;0.0;-1.0;-1;4;false;2418160;409599;43881;221557;2.9695274795481633E7;1609242392628;1609242395699;37.203;185.146;373.68;146.559;0.0;true
8;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4176932;51.1341503;107.80000305175781;1609242332999;3.783;1609242405762;1609242408584;UDP;download;524288;0.009608;21980;1691;31827040;2.4461675270607826E10;0.425662;21980;1691;-1;5.981654928088484E8;5.981654928088484E8;7.693357597816196;7.0;0.024149335021029412;0;-1;false;;;;;;1609242405759;1609242410053;38.527;296.464;627.709;246.055;25.0;true
9;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4183916;51.1356909;107.80000305175781;1609242345999;3.75;1609242420094;1609242421104;TCP;download;1048576;0.431644;-1;-1;1782280;3.3032406334850013E7;0.393506;-1;-1;1049598;2.13383887412136E7;-1.0;0.0;0.0;-1.0;-1;0;false;195480;46979;46979;46979;3.3032406334850013E7;1609242420093;1609242423145;30.641;76.82;202.304;72.598;0.0;true
10;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4197194;51.1372137;107.80000305175781;1609242359999;3.9;1609242433191;1609242435106;UDP;download;9437184;0.464749;55115;2760;79806520;1.3049631521530976E9;0.728045;55115;2760;-1;8.769405187866133E8;8.769405187866133E8;5.00771114941486;5.0;0.06592731611838173;44;-1;false;;;;;;1609242433190;1609242436256;31.209;221.596;759.558;310.714;0.0;true
11;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4209615;51.1384102;107.80000305175781;1609242372999;3.9;1609242446314;1609242447926;TCP;download;2097152;1.188409;-1;-1;2821668;1.8994591929209556E7;1.139324;-1;-1;2101048;1.4752944728628555E7;-1.0;0.0;0.0;-1.0;-1;0;false;185344;43290;38044;40667;1.8994591929209556E7;1609242446313;1609242449384;47.839;53.827;59.218;5.202;0.0;true
12;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4225381;51.1396632;115.81587036713209;1609242386999;3.9;1609242459433;1609242463457;TCP;download;5242880;3.038429;-1;-1;6651652;1.7513397877653223E7;2.982124;-1;-1;5263930;1.4121290731036E7;-1.0;0.0;0.0;-1.0;-1;0;false;344624;178429;40025;113220;1.7513397877653223E7;1609242459431;1609242462648;61.523;113.851;178.194;51.374;0.0;true
13;LTE;LTE;LTE;27188738;326;13611;54;15;-86;-8;not available;22;11;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4240363;51.1407086;117.68939699741661;1609242399999;3.9;1609242473521;1609242475539;TCP;upload;7340032;1.395671;-1;-1;7692000;4.409062021063703E7;1.480186;-1;-1;6954448;3.7586887053383835E7;-1.0;0.0;0.0;-1.0;-1;3;false;2436984;204833;42430;144536;4.409062021063703E7;1609242473518;1609242476575;31.319;76.885;194.549;68.238;0.0;true
14;LTE;LTE;LTE;27188736;324;13611;63;15;-77;-6;not available;19;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4243611;51.1409739;117.80000305175781;1609242412999;4.866;1609242486628;1609242487635;TCP;download;5242880;0.544462;-1;-1;8159488;1.1989065168919043E8;0.510913;-1;-1;5266676;8.24668935807075E7;-1.0;0.0;0.0;-1.0;-1;0;false;750064;44738;44738;44738;1.1989065168919043E8;1609242486626;1609242489697;30.44;41.354;53.327;9.726;0.0;true
15;LTE;LTE;LTE;27188736;324;13611;59;12;-81;-6;not available;15;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4250174;51.1416114;117.80000305175781;1609242425999;3.9;1609242499742;1609242500851;TCP;download;1048576;0.667458;-1;-1;1520180;1.8220532228245072E7;0.628839;-1;-1;1051394;1.3375684396164995E7;-1.0;0.0;0.0;-1.0;-1;0;false;127424;42204;42204;42204;1.8220532228245072E7;1609242499741;1609242502800;33.574;42.222;47.907;5.286;0.0;true
16;LTE;LTE;LTE;27188736;324;13611;59;12;-81;-6;not available;15;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4262823;51.1429762;117.80000305175781;1609242438999;3.72;1609242512916;1609242515437;TCP;upload;9437184;1.848238;-1;-1;9692442;4.195322031037128E7;1.934976;-1;-1;8958702;3.7039020639015675E7;-1.0;0.0;0.0;-1.0;-1;4;false;2625224;260794;40594;178383;4.195322031037128E7;1609242512913;1609242515970;32.525;139.546;268.182;104.422;0.0;true
17;LTE;LTE;LTE;27188736;324;13611;59;12;-81;-6;not available;15;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4277369;51.1445597;117.80000305175781;1609242451999;3.9;1609242526039;1609242526847;TCP;upload;524288;0.045052;-1;-1;550410;9.77377252952144E7;0.088923;-1;-1;9861;887149.5563577476;-1.0;0.0;0.0;-1.0;-1;0;false;14480;37646;37646;37646;9.77377252952144E7;1609242526035;1609242529102;34.463;98.416;281.502;105.762;0.0;true
18;LTE;LTE;LTE;27188736;324;13611;59;12;-81;-6;not available;15;2;not available;-1;262;01;-1;-1;-1;-1;-1;-1;-1;-1;-1;6.4295504;51.1465309;117.80000305175781;1609242465999;3.75;1609242539217;1609242540227;UDP;upload;524288;0.013442;363;0;525624;3.910310965630114E7;-1.0;-1;-1;-1;-1.0;3.128248772504091E8;0.0;-1.0;-1.0;-1;-1;false;;;;;;1609242539209;1609242542261;30.756;95.861;286.7;110.186;0.0;true
