counter;timestampStart;timestampEnd;protocol;direction;filesize;senderTime;senderPackets;senderLostPackets;senderBytes;senderThroughput;receiverTime;receiverPackets;receiverLostPackets;receiverBytes;receiverThroughput;rawThroughput;senderPacketloss;revceiverPacketloss;receiverJitter;receiverOutOfOrder;senderRetransmits;speedtestTimeout;tcp_max_cwnd_0;tcp_max_rtt_0;tcp_min_rtt_0;tcp_mean_rtt_0;bits_per_second_0
0;1609242300695;1609242302605;UDP;upload;4194304;0.726541;2897;0;4194856;5773736.100233848;-1.0;-1;-1;-1;-1.0;4.6189888801870786E7;0.0;-1.0;-1.0;-1;-1;false;;;;;
1;1609242313845;1609242314350;TCP;upload;104858;0.003346;-1;-1;110040;2.6309623430962342E8;0.059221;-1;-1;6316;853210.85425778;-1.0;0.0;0.0;-1.0;-1;0;false;14480;32676;32676;32676;2.6309623430962342E8
2;1609242326961;1609242327575;TCP;download;104858;0.13214;-1;-1;387760;2.3475707582866654E7;0.092488;-1;-1;105152;9095406.97171525;-1.0;0.0;0.0;-1.0;-1;0;false;79640;41608;41608;41608;2.3475707582866654E7
3;1609242340116;1609242340633;UDP;upload;104858;0.004045;73;0;105704;2.6132014833127316E7;-1.0;-1;-1;-1;-1.0;2.0905611866501853E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
4;1609242353258;1609242356074;TCP;download;10485760;2.33968;-1;-1;12990016;4.4416385146686725E7;2.236661;-1;-1;10491060;3.75240056494927E7;-1.0;0.0;0.0;-1.0;-1;0;false;576304;44380;37599;40047;4.4416385146686725E7
5;1609242366411;1609242368224;TCP;download;6291456;1.353225;-1;-1;8308432;4.911781558868629E7;1.300183;-1;-1;6306040;3.8800938021801546E7;-1.0;0.0;0.0;-1.0;-1;0;false;443088;46078;42409;44243;4.911781558868628E7
6;1609242379517;1609242380021;UDP;upload;104858;0.002805;73;0;105704;3.7684135472370766E7;-1.0;-1;-1;-1;-1.0;3.014730837789661E8;0.0;-1.0;-1.0;-1;-1;false;;;;;
7;1609242392632;1609242395151;TCP;upload;6291456;1.779669;-1;-1;6605970;2.9695274795481633E7;1.893575;-1;-1;5835666;2.4654596728410546E7;-1.0;0.0;0.0;-1.0;-1;4;false;2418160;409599;43881;221557;2.9695274795481633E7
8;1609242405762;1609242408584;UDP;download;524288;0.009608;21980;1691;31827040;2.4461675270607826E10;0.425662;21980;1691;-1;5.981654928088484E8;5.981654928088484E8;7.693357597816196;7.0;0.024149335021029412;0;-1;false;;;;;
9;1609242420094;1609242421104;TCP;download;1048576;0.431644;-1;-1;1782280;3.3032406334850013E7;0.393506;-1;-1;1049598;2.13383887412136E7;-1.0;0.0;0.0;-1.0;-1;0;false;195480;46979;46979;46979;3.3032406334850013E7
