Counter;PingtimestampStart;PingtimestampEnd;minPing;avgPing;maxPing;meanDevPing;packetLoss;successfull
0;1609242300694;1609242303749;40.16;216.317;542.852;205.554;0.0;true
1;1609242313838;1609242316901;30.716;48.668;71.416;15.503;0.0;true
2;1609242326964;1609242330022;32.626;43.185;58.996;11.018;0.0;true
3;1609242340103;1609242343177;31.316;33.316;38.316;2.894;0.0;true
4;1609242353257;1609242356335;42.985;47.714;57.549;5.76;0.0;true
5;1609242366410;1609242369462;32.491;39.688;49.29;6.099;0.0;true
6;1609242379512;1609242382578;33.847;39.228;42.264;3.22;0.0;true
7;1609242392628;1609242395699;37.203;185.146;373.68;146.559;0.0;true
8;1609242405759;1609242410053;38.527;296.464;627.709;246.055;25.0;true
9;1609242420093;1609242423145;30.641;76.82;202.304;72.598;0.0;true
10;1609242433190;1609242436256;31.209;221.596;759.558;310.714;0.0;true
11;1609242446313;1609242449384;47.839;53.827;59.218;5.202;0.0;true
12;1609242459431;1609242462648;61.523;113.851;178.194;51.374;0.0;true
13;1609242473518;1609242476575;31.319;76.885;194.549;68.238;0.0;true
14;1609242486626;1609242489697;30.44;41.354;53.327;9.726;0.0;true
15;1609242499741;1609242502800;33.574;42.222;47.907;5.286;0.0;true
16;1609242512913;1609242515970;32.525;139.546;268.182;104.422;0.0;true
17;1609242526035;1609242529102;34.463;98.416;281.502;105.762;0.0;true
18;1609242539209;1609242542261;30.756;95.861;286.7;110.186;0.0;true
19;1609242552299;1609242555365;30.6;39.906;60.426;12.029;0.0;true
20;1609242565410;1609242569438;31.57;43.834;61.691;12.919;25.0;true
21;1609242579491;1609242583572;49.737;49.737;49.737;0.0;75.0;true
22;1609242593635;1609242596689;32.319;123.442;375.964;145.862;0.0;true
23;1609242606737;1609242609791;33.425;135.235;391.205;148.266;0.0;true
24;1609242619834;1609242624236;71.823;644.088;1188.109;456.16;25.0;true
25;1609242643427;1609242646493;34.911;46.88;72.073;15.158;0.0;true
26;1609242656541;1609242659596;32.677;328.478;611.609;280.349;0.0;true
27;1609242669648;1609242672726;33.962;487.201;1445.248;575.31;0.0;true
28;1609242682789;1609242685850;32.144;41.428;64.663;13.47;0.0;true
29;1609242695901;1609242698954;32.307;85.822;181.192;56.649;0.0;true
30;1609242708992;1609242713034;33.245;94.093;213.061;84.13;25.0;true
31;1609242723089;1609242726160;41.758;44.684;49.962;3.164;0.0;true
32;1609242736259;1609242739319;36.322;41.477;46.076;3.747;0.0;true
33;1609242749478;1609242752535;33.422;84.871;202.104;68.277;0.0;true
34;1609242762584;1609242765639;34.125;101.459;289.278;108.5;0.0;true
35;1609242775699;1609242778775;40.362;44.878;52.078;4.516;0.0;true
36;1609242788841;1609242791940;48.569;67.344;99.242;20.194;0.0;true
37;1609242803942;1609242806999;33.476;127.708;239.901;91.488;0.0;true
38;1609242817050;1609242820113;34.048;156.44;308.771;113.394;0.0;true
39;1609242830224;1609242833277;30.255;120.325;359.087;138.326;0.0;true
40;1609242843318;1609242846377;31.149;166.553;533.431;212.123;0.0;true
41;1609242856420;1609242859481;31.308;36.063;48.844;7.394;0.0;true
42;1609242869536;1609242872590;31.29;34.698;39.051;2.815;0.0;true
43;1609242882644;1609242886695;31.673;117.873;282.182;116.23;25.0;true
44;1609242896749;1609242899802;30.768;223.232;355.643;120.533;0.0;true
45;1609242909854;1609242915698;325.209;947.367;1406.145;456.161;25.0;true
46;1609242925828;1609242928891;31.771;38.669;49.147;6.893;0.0;true
47;1609242938993;1609242942054;31.903;42.751;60.843;11.967;0.0;true
48;1609242952099;1609242955166;30.551;87.151;204.681;68.731;0.0;true
49;1609242968442;1609242971506;32.061;36.038;46.46;6.029;0.0;true
50;1609242981550;1609242984609;33.924;75.773;162.097;50.978;0.0;true
51;1609242994653;1609242997718;33.13;126.08;260.921;97.28;0.0;true
52;1609243007871;1609243011933;32.45;1230.185;2336.933;942.999;25.0;true
53;1609243027653;1609243030716;35.06;80.47;204.486;71.751;0.0;true
54;1609243040827;1609243043910;39.495;55.466;62.987;9.361;0.0;true
55;1609243054906;1609243057962;33.432;166.618;285.967;118.356;0.0;true
56;1609243068020;1609243071081;34.039;68.84;130.708;38.623;0.0;true
57;1609243081157;1609243084218;32.959;140.481;452.002;179.897;0.0;true
58;1609243094265;1609243097333;39.095;143.902;247.026;102.673;0.0;true
59;1609243107380;1609243110434;32.515;35.973;43.915;4.617;0.0;true
60;1609243120470;1609243123561;41.426;385.797;1240.664;498.721;0.0;true
61;1609243133600;1609243136666;35.398;90.039;238.438;85.845;0.0;true
62;1609243146721;1609243150759;39.677;96.71;210.624;80.549;25.0;true
63;1609243160845;1609243163904;30.776;114.686;328.567;124.342;0.0;true
64;1609243173968;1609243177129;31.85;73.524;135.431;38.464;0.0;true
65;1609243187542;1609243190608;32.132;35.902;41.913;3.756;0.0;true
66;1609243200661;1609243203727;30.833;36.223;48.272;7.054;0.0;true
67;1609243213784;1609243216856;31.849;36.145;41.203;4.149;0.0;true
68;1609243226911;1609243229986;33.048;64.995;137.928;42.515;0.0;true
69;1609243240049;1609243243117;31.579;38.907;59.179;11.71;0.0;true
70;1609243253177;1609243256235;30.285;34.392;41.61;4.396;0.0;true
71;1609243266284;1609243269344;31.384;32.216;32.768;0.543;0.0;true
72;1609243279427;1609243282484;30.929;32.965;37.856;2.835;0.0;true
73;1609243292582;1609243296639;48.292;821.802;1720.494;688.388;25.0;true
74;1609243306682;1609243309750;43.964;118.552;333.827;124.316;0.0;true
75;1609243319807;1609243322873;35.712;65.42;129.541;38.372;0.0;true
76;1609243332921;1609243335985;36.454;42.984;47.949;4.63;0.0;true
77;1609243346033;1609243349091;34.42;215.932;744.81;305.409;0.0;true
78;1609243359137;1609243362198;36.277;84.473;196.375;65.107;0.0;true
79;1609243372352;1609243375406;35.619;38.664;42.599;2.703;0.0;true
80;1609243385498;1609243388565;35.554;38.03;43.234;3.093;0.0;true
81;1609243398671;1609243401732;44.754;49.657;63.942;8.252;0.0;true
82;1609243412885;1609243416958;56.979;56.979;56.979;0.0;75.0;true
83;1609243427829;1609243430889;34.193;42.988;67.525;14.174;0.0;true
84;1609243440957;1609243444024;35.956;76.623;178.692;59.071;0.0;true
85;1609243454091;1609243457189;32.806;110.928;311.51;116.474;0.0;true
86;1609243467296;1609243470356;33.875;126.08;383.026;148.558;0.0;true
87;1609243480408;1609243483464;32.716;82.202;228.449;84.437;0.0;true
88;1609243493503;1609243496559;33.315;106.244;323.069;125.185;0.0;true
89;1609243506606;1609243509667;34.008;57.228;117.841;35.157;0.0;true
90;1609243519774;1609243522848;40.841;47.057;56.219;5.641;0.0;true
91;1609243532897;1609243535956;34.014;159.436;382.319;139.441;0.0;true
92;1609243546046;1609243550088;38.412;72.846;127.34;38.978;25.0;true
93;1609243560149;1609243563792;44.03;530.684;825.47;292.494;0.0;true
94;1609243573959;1609243577012;33.654;42.006;48.248;5.574;0.0;true
95;1609243587067;1609243590128;33.474;309.562;984.515;393.553;0.0;true
96;1609243600184;1609243603247;33.433;37.138;46.547;5.479;0.0;true
97;1609243613298;1609243616361;35.339;45.136;54.768;7.088;0.0;true
98;1609243626411;1609243629471;32.674;36.512;47.125;6.133;0.0;true
99;1609243639517;1609243642583;34.764;188.828;636.212;258.323;0.0;true
100;1609243652649;1609243655695;33.356;40.296;47.798;5.448;0.0;true
101;1609243665795;1609243668858;35.426;65.244;136.787;41.778;0.0;true
102;1609243678910;1609243681991;48.637;74.52;113.695;26.442;0.0;true
